MSN,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"19,578","20,722","18,715","18,697","20,245"
2. Các khoản giảm trừ doanh thu,55,79,9,88,90
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"19,523","20,643","18,706","18,609","20,155"
4. Giá vốn hàng bán,"14,099","15,089","13,620","13,281","14,215"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"5,424","5,554","5,086","5,327","5,940"
6.Doanh thu hoạt động tài chính,330,654,650,690,421
7. Chi phí tài chính,"1,667","1,823","1,989","2,139","2,386"
Trong đó :Chi phí lãi vay,"1,126","1,486","1,747","1,786","1,745"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết","1,145",749,978,924,"1,049"
9. Chi phí bán hàng,"3,284","3,250","3,316","3,432","3,624"
10. Chi phí quản lý doanh nghiệp,985,923,860,903,957
11. Lợi nhuận thuần từ hoạt động kinh doanh,963,962,548,467,443
12. Thu nhập khác,35,103,44,18,163
13. Chi phí khác,90,162,11,34,23
14. Lợi nhuận khác,-54,-59,34,-16,140
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,909,903,581,451,583
16. Chi phí thuế TNDN hiện hành,231,199,219,256,319
17. Chi phí thuế TNDN hoãn lại,-163,-99,-77,-234,-220
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,841,804,439,429,485
Lợi ích của cổ đông thiểu số,298,357,225,324,436
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,543,447,215,105,48
19. Lãi cơ bản trên cổ phiếu (*),383,315,151,74,34
20. Lãi suy giảm trên cổ phiếu (*),,,,,
