MSN,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"21,577","23,904","23,990","18,219","17,862"
2. Các khoản giảm trừ doanh thu,358,299,162,29,28
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"21,219","23,605","23,828","18,189","17,834"
4. Giá vốn hàng bán,"16,372","17,509","16,951","13,100","12,867"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"4,847","6,096","6,877","5,089","4,967"
6.Doanh thu hoạt động tài chính,245,327,"6,011","1,006",585
7. Chi phí tài chính,"1,397","1,366","1,561","1,296","1,576"
Trong đó :Chi phí lãi vay,"1,180","1,157","1,138","1,161","1,074"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết","1,024",934,992,"1,194","1,252"
9. Chi phí bán hàng,"2,669","3,083","3,306","3,044","2,933"
10. Chi phí quản lý doanh nghiệp,908,"1,171","1,084",921,"1,025"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,144","1,737","7,929","2,028","1,270"
12. Thu nhập khác,140,147,162,80,61
13. Chi phí khác,142,20,95,34,69
14. Lợi nhuận khác,-2,126,68,46,-8
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,142","1,863","7,997","2,074","1,261"
16. Chi phí thuế TNDN hiện hành,216,405,691,129,68
17. Chi phí thuế TNDN hoãn lại,-128,-128,187,50,-22
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,053","1,586","7,119","1,895","1,215"
Lợi ích của cổ đông thiểu số,262,439,682,299,234
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,791,"1,147","6,437","1,596",981
19. Lãi cơ bản trên cổ phiếu (*),673,972,"5,452","1,352",692
20. Lãi suy giảm trên cổ phiếu (*),,,,,
