MSN,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,701","3,710","1,575","2,780","3,274"
2. Các khoản giảm trừ doanh thu,28,56,41,44,39
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"2,673","3,654","1,534","2,736","3,235"
4. Giá vốn hàng bán,"1,589","2,124","1,027","1,625","1,841"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,085","1,530",507,"1,111","1,394"
6.Doanh thu hoạt động tài chính,129,124,140,87,92
7. Chi phí tài chính,80,56,73,84,122
Trong đó :Chi phí lãi vay,66,,65,,0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,0
9. Chi phí bán hàng,376,413,346,386,591
10. Chi phí quản lý doanh nghiệp,198,223,176,213,217
11. Lợi nhuận thuần từ hoạt động kinh doanh,558,961,52,515,557
12. Thu nhập khác,84,27,96,27,23
13. Chi phí khác,16,19,16,17,25
14. Lợi nhuận khác,68,8,80,10,-2
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-6,-370,-15,-58,-62
15. Tổng lợi nhuận kế toán trước thuế,620,599,117,467,493
16. Chi phí thuế TNDN hiện hành,101,379,120,177,230
17. Chi phí thuế TNDN hoãn lại,38,-193,-38,23,-46
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,481,413,35,267,309
Lợi ích của cổ đông thiểu số,164,277,35,132,194
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,317,136,1,135,115
19. Lãi cơ bản trên cổ phiếu (*),453,192,1,185,161
20. Lãi suy giảm trên cổ phiếu (*),,,,,0
