LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Soát xét,VST Tính
Công ty kiểm toán,,,,EY,
Ý kiến kiểm toán,,,,Chấp nhận toàn phần,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,532,579,"-1,705",635,412
2. Điều chỉnh cho các khoản:,,,,,
Khấu hao tài sản cố định,58,58,-167,55,52
Các khoản dự phòng,"4,596","4,649","-13,952","5,326","5,773"
"Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",,-5,7,,-1
"Lãi, lỗ từ hoạt động đầu tư","-2,382","-2,058","6,643","-2,357","-2,460"
Chi phí lãi vay,38,60,-221,143,177
Khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,842","3,283","-9,393","3,803","3,952"
"Tăng, giảm các khoản phải thu",-514,69,"1,454",-317,"-3,195"
"Tăng, giảm hàng tồn kho",-8,-2,20,-18,25
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","1,338",-183,"-1,320",-110,120
"Tăng, giảm chi phí trả trước",43,69,-275,-196,-128
"Tăng, giảm chứng khoán kinh doanh",124,-592,97,-133,21
Tiền lãi vay đã trả,-69,-158,342,-100,-146
Thuế thu nhập doanh nghiệp đã nộp,-91,-67,236,-115,-119
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác từ hoạt động kinh doanh,-4,-16,55,-38,-9
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,661","2,404","-8,785","2,776",521
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-40,-72,154,-34,-52
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,-1,,1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-17,175","-49,959","82,705","-34,788","-47,299"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","14,137","47,190","-74,646","26,729","34,025"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-323,323,4,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"-2,372",,,7,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được  chia","4,520","1,971","-6,491","2,220","1,604"
8. Tiền thu khác từ hoạt động đầu tư,,,,,
9. Tiền chi khác từ hoat động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,253",-546,"1,726","-5,866","-11,722"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,"27,115","-27,115"
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
"3. Tiền vay ngắn hạn, dài hạn nhận được","3,525","20,215","-27,105",,"51,962"
4. Tiền chi trả nợ gốc vay,"-7,451","-9,059","25,070","-18,616","-21,272"
5. Tiền chi trả nợ thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác từ hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-3,926","11,157","-2,035","8,498","3,576"
Lưu chuyển tiền thuần trong kỳ,"-1,518","13,014","-9,094","5,409","-7,625"
Tiền và tương đương tiền đầu kỳ,"4,378","2,860","15,872","5,354","10,763"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,-3,3,,
Tiền và tương đương tiền cuối kỳ,"2,860","15,872",,"10,763","3,138"
