LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,524,742,534,687,657
2. Điều chỉnh cho các khoản:,,,,,
Khấu hao tài sản cố định,46,55,132,61,113
Các khoản dự phòng,"5,529","4,778","4,488","5,201","4,337"
"Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",23,,9,-1,5
"Lãi, lỗ từ hoạt động đầu tư","-3,328","-3,274","-3,125","-3,123","-3,233"
Chi phí lãi vay,196,237,232,242,320
Khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,990","2,537","2,271","3,068","2,200"
"Tăng, giảm các khoản phải thu","2,011","2,334","-2,166",-246,"2,020"
"Tăng, giảm hàng tồn kho",22,-3,22,2,-9
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","-1,143",-495,-14,-226,-420
"Tăng, giảm chi phí trả trước",-157,-5,118,-26,-91
"Tăng, giảm chứng khoán kinh doanh",-328,-27,-287,-104,24
Tiền lãi vay đã trả,-239,-153,-160,-326,-32
Thuế thu nhập doanh nghiệp đã nộp,-81,-106,-113,-93,-120
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác từ hoạt động kinh doanh,5,-48,-27,-30,-44
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,082","4,034",-357,"2,019","3,529"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-33,-22,-35,-34,-41
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-47,057","-48,390","-44,288","-54,722","-31,488"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","33,009","34,619","44,996","47,736","16,568"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được  chia","2,544","4,404","2,565","3,560","2,130"
8. Tiền thu khác từ hoạt động đầu tư,,,,,
9. Tiền chi khác từ hoat động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-11,537","-9,389","3,238","-3,460","-12,831"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
"3. Tiền vay ngắn hạn, dài hạn nhận được","78,333","24,895","7,069","23,835","12,228"
4. Tiền chi trả nợ gốc vay,"-20,694","-16,796","-11,486","-25,903","-3,181"
5. Tiền chi trả nợ thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-734,,,,-767
7. Tiền thu khác từ hoạt động tài chính,"-56,011",,,,
8. Tiền chi khác từ hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,895,"8,099","-4,417","-2,069","8,281"
Lưu chuyển tiền thuần trong kỳ,"-7,560","2,743","-1,536","-3,510","-1,022"
Tiền và tương đương tiền đầu kỳ,"12,344","4,784","7,528","5,992","2,482"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,1,1,-1,
Tiền và tương đương tiền cuối kỳ,"4,784","7,528","5,992","2,482","1,461"
