GVR,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,752","3,320","6,168","9,063","4,855"
2. Các khoản giảm trừ doanh thu,8,4,4,9,5
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"2,745","3,316","6,164","9,054","4,850"
4. Giá vốn hàng bán,"2,232","2,605","4,914","6,684","3,453"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,513,710,"1,250","2,370","1,396"
6.Doanh thu hoạt động tài chính,240,226,924,"1,635",186
7. Chi phí tài chính,152,171,340,483,47
Trong đó :Chi phí lãi vay,155,143,191,263,147
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",70,70,43,98,115
9. Chi phí bán hàng,63,64,136,180,94
10. Chi phí quản lý doanh nghiệp,258,296,363,681,310
11. Lợi nhuận thuần từ hoạt động kinh doanh,350,475,"1,378","2,760","1,247"
12. Thu nhập khác,71,169,116,"1,150",117
13. Chi phí khác,19,46,31,258,60
14. Lợi nhuận khác,52,123,85,893,57
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,402,598,"1,463","3,653","1,304"
16. Chi phí thuế TNDN hiện hành,126,195,293,521,137
17. Chi phí thuế TNDN hoãn lại,-60,-110,-21,-65,-50
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,337,513,"1,191","3,197","1,216"
Lợi ích của cổ đông thiểu số,110,59,209,530,398
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,226,454,983,"2,668",818
19. Lãi cơ bản trên cổ phiếu (*),57,114,246,667,204
20. Lãi suy giảm trên cổ phiếu (*),57,114,246,667,204
