GVR,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"5,854","9,037","4,142","4,276","6,199"
2. Các khoản giảm trừ doanh thu,6,24,7,3,4
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"5,847","9,013","4,135","4,273","6,195"
4. Giá vốn hàng bán,"4,267","7,325","3,129","3,304","4,961"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,580","1,688","1,006",969,"1,235"
6.Doanh thu hoạt động tài chính,232,268,231,285,285
7. Chi phí tài chính,154,231,143,157,117
Trong đó :Chi phí lãi vay,126,135,121,121,93
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",47,129,-11,9,-269
9. Chi phí bán hàng,132,220,109,111,159
10. Chi phí quản lý doanh nghiệp,446,556,362,397,452
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,129","1,078",612,598,523
12. Thu nhập khác,123,834,378,352,184
13. Chi phí khác,72,252,42,56,85
14. Lợi nhuận khác,51,581,336,296,100
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,181","1,659",948,893,622
16. Chi phí thuế TNDN hiện hành,160,371,146,137,129
17. Chi phí thuế TNDN hoãn lại,27,-22,47,38,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,994,"1,311",756,717,494
Lợi ích của cổ đông thiểu số,,399,206,163,181
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,994,912,550,554,313
19. Lãi cơ bản trên cổ phiếu (*),209,228,137,139,78
20. Lãi suy giảm trên cổ phiếu (*),,,,,
