GVR,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"19,871","20,868","21,816","23,097","21,914"
I. Tiền và các khoản tương đương tiền,"4,820","4,844","6,131","6,219","4,659"
1. Tiền,"1,023","1,080","1,632","2,094","2,068"
2. Các khoản tương đương tiền,"3,797","3,764","4,499","4,124","2,591"
II.  Đầu tư tài chính ngắn hạn,"8,047","8,853","9,422","9,776","11,291"
1. Chứng khoán kinh doanh,7,7,7,1,1
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-5,-4,-4,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,"8,045","8,851","9,419","9,775","11,290"
III. Các khoản phải thu ngắn hạn,"2,715","2,700","2,574","2,924","2,624"
1. Phải thu ngắn hạn của khách hàng,"1,023",996,978,"1,276",901
2. Trả trước cho người bán ngắn hạn,624,550,638,512,531
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,8,8,7,11,11
6. Phải thu ngắn hạn khác,"1,246","1,335","1,128","1,299","1,357"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-206,-209,-197,-253,-236
8. Tài sản thiếu chờ xử lý,21,21,21,81,61
IV. Hàng tồn kho,"3,313","3,515","2,797","2,290","2,488"
1. Hàng tồn kho,"3,392","3,543","2,832","2,305","2,502"
2. Dự phòng giảm giá hàng tồn kho (*),-79,-27,-35,-15,-14
V. Tài sản ngắn hạn khác,977,955,893,"1,888",852
1. Chi phí trả trước ngắn hạn,126,153,99,113,122
2. Thuế GTGT được khấu trừ,464,467,488,506,483
3. Thuế và các khoản khác phải thu của nhà nước,387,335,307,"1,268",247
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
