GVR,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
6. Doanh thu chưa thực hiện dài hạn,"7,042","7,634","7,980","8,196","8,445"
7. Phải trả dài hạn khác,126,291,167,212,222
8. Vay và nợ thuê tài chính dài hạn,"10,304","10,227","9,750","9,662","9,180"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,0,,,,
12. Dự phòng phải trả dài hạn,,,,,
13. Quỹ phát triển khoa học và công nghệ,188,192,188,191,202
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"50,084","50,089","49,775","49,733","50,757"
I. Vốn chủ sở hữu,"50,005","49,975","49,682","49,653","50,690"
1. Vốn góp của chủ sở hữu,"40,000","40,000","40,000","40,000","40,000"
- Cổ phiếu phổ thông có quyền biểu quyết,"40,000","40,000","40,000","40,000","40,000"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,136,136,136,136,136
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,11,11,11,11,11
5. Cổ phiếu quỹ (*),-107,-107,-107,-107,-105
6. Chênh lệch đánh giá lại tài sản,"-1,491","-1,490","-1,481","-1,467","-1,654"
7. Chênh lệch tỷ giá hối đoái,"1,438","1,453","1,363","1,140","1,049"
8. Quỹ đầu tư phát triển,"2,429","2,462","2,670","2,988","2,938"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,7,4,4,4,5
11. Lợi nhuận sau thuế chưa phân phối,"2,903","2,793","3,126","2,910","3,908"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,850,"2,584","2,282","1,056","2,446"
- LNST chưa phân phối kỳ này,"2,053",209,845,"1,854","1,463"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"4,680","4,713","3,961","4,039","4,400"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,79,114,93,80,67
1. Nguồn kinh phí,-103,-59,-76,-83,-100
2. Nguồn kinh phí đã hình thành TSCĐ,182,173,169,163,167
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"77,699","76,566","76,059","76,021","78,171"
