Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
17/02/2025,91.6(0.00 %),"-274,010",-25.09,"30,101",2.76,"304,111",27.85,0,0%
14/02/2025,91.6(0.00 %),"-345,899",-31.71,"34,300",3.15,"380,199",34.86,0,0%
13/02/2025,91.6(0.11 %),"-194,696",-17.82,"198,400",18.17,"393,096",35.99,0,0%
12/02/2025,91.5(-0.44 %),"-365,411",-33.52,"10,789",0.99,"376,200",34.52,0,0%
11/02/2025,91.9(-0.33 %),"-358,632",-32.99,"13,425",1.23,"372,057",34.22,0,0%
10/02/2025,92.2(-0.86 %),"-806,300",-74.42,"508,300",46.95,"1,314,600",121.38,0,0%
07/02/2025,93(0.11 %),"-950,104",-88.36,"204,217",18.98,"1,154,321",107.34,0,0%
06/02/2025,92.9(0.32 %),"236,836",22.04,"567,710",52.83,"330,874",30.79,0,0%
05/02/2025,92.6(0.65 %),"208,162",19.3,"548,700",50.8,"340,538",31.5,0,0%
04/02/2025,92(0.44 %),"-147,748",-13.59,"38,600",3.55,"186,348",17.13,0,0%
03/02/2025,91.7(-0.97 %),"-567,554",-52.1,"54,201",4.98,"621,755",57.08,0,0%
24/01/2025,92.6(0.11 %),"223,205",20.71,"347,500",32.19,"124,295",11.48,0,0%
23/01/2025,92.5(1.43 %),"588,410",54.4,"713,110",65.93,"124,700",11.53,0,0%
22/01/2025,91.2(-0.22 %),"-156,690",-14.31,"212,410",19.41,"369,100",33.72,0,0%
21/01/2025,91.4(-0.33 %),"-308,265",-28.21,"387,830",35.54,"696,095",63.75,0,0%
20/01/2025,91.7(-0.86 %),"-1,243,267",-114.35,"65,420",6.02,"1,308,687",120.36,0,0%
17/01/2025,92.5(-0.22 %),"-543,518",-50.3,"165,605",15.34,"709,123",65.64,0,0%
16/01/2025,92.7(1.42 %),"-332,090",-30.77,"242,010",22.4,"574,100",53.18,0,0%
15/01/2025,91.4(-0.33 %),"-74,066",-6.79,"81,012",7.43,"155,078",14.21,0,0%
14/01/2025,91.7(-0.22 %),"-165,783",-15.14,"154,817",14.14,"320,600",29.28,0,0%
