stock_code,time,,A. TÀI SẢN,"I. Tiền mặt, vàng bạc, đá quý",II. Tiền gửi tại NHNN,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",2. Cho vay các TCTD khác,3. Dự phòng rủi ro cho vay các TCTD khác,IV. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,VI. Cho vay khách hàng,1. Cho vay và cho thuê tài chính khách hàng,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,VII. Hoạt động mua nợ,1. Mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,VII. Chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,3. Dự phòng giảm giá chứng khoán đầu tư,"VIII. Góp vốn, đầu tư dài hạn",1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên doanh, liên kết",3. Đầu tư dài hạn khác,4. Dự phòng giảm giá đầu tư dài hạn,IX. Tài sản cố định,1. Tài sản cố định hữu hình,a. Nguyên giá TSCĐ,b. Hao mòn TSCĐ,2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,X. Bất động sản đầu tư,a. Nguyên giá BĐSĐT,b. Hao mòn BĐSĐT,"XI. Tài sản ""Có"" khác",1. Các khoản phải thu,"2. Các khoản lãi, phí phải thu",3. Tài sản thuế TNDN hoãn lại,4. Tài sản Có khác,- Trong đó: Lợi thế thương mại,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TỔNG CỘNG TÀI SẢN,B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,I. Các khoản nợ Chính phủ và NHNN,II. Tiền gửi và vay các TCTD khác,1. Tiền gửi của các TCTD khác,2. Vay các TCTD khác,III. Tiền gửi của khách hàng,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",VI. Phát hành giấy tờ có giá,VII. Các khoản nợ khác,"1. Các khoản lãi, phí phải trả",2. Thuế TNDN hoãn lại phải trả,3. Các khoản phải trả và công nợ khác,4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),TỔNG NỢ PHẢI TRẢ,VIII. Vốn và các quỹ,1. Vốn của TCTD,a. Vốn điều lệ,b. Vốn đầu tư XDCB,c. Thặng dư vốn cổ phần,d. Cổ phiếu quỹ,e. Cổ phiếu ưu đãi,g. Vốn khác,2. Quỹ của TCTD,3. Chênh lệch tỷ giá hối đoái,4. Chênh lệch đánh giá lại tài sản,5. Lợi nhuận chưa phân phối/Lỗ lũy kế,6. Lợi ích cổ đông không kiểm soát,IX. Lợi ích của cổ đông thiểu số,TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,1. Thu nhập lãi và các khoản thu nhập tương tự,2. Chi phí lãi và các chi phí tương tự,I. Thu nhập lãi thuần,3. Thu nhập từ hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,5. Thu nhập từ hoạt động khác,6. Chi phí hoạt động khác,VI. Lãi/lỗ thuần từ hoạt động khác,"VII. Thu nhập từ góp vốn, mua cổ phần",VIII. Chi phí hoạt động,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),X. Chi phí dự phòng rủi ro tín dụng,XI. Tổng lợi nhuận trước thuế (IX-X),7. Chi phí thuế TNDN hiện hành,8. Chi phí thuế TNDN hoãn lại,XII. Chi phí thuế TNDN,XIII. Lợi nhuận sau thuế (XI-XII),XIV. Lợi ích của cổ đông thiểu số,XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),Lãi cơ bản trên cổ phiếu (BCTC)
TPB,Q12022,,,2477.0,14077.0,37628.0,28993.0,8636.0,,,,,,147720.0,149875.0,-2155.0,354.0,356.0,-3.0,77405.0,77804.0,45.0,-443.0,,,,,,741.0,479.0,632.0,-369.0,,262.0,,,,22220.0,18293.0,2276.0,,1655.0,,-4.0,302623.0,,532.0,80248.0,45450.0,34798.0,152539.0,,409.0,37220.0,4242.0,2897.0,,1345.0,,275242.0,27380.0,18379.0,15818.0,,2561.0,,,,1389.0,,,7515.0,,,302623.0,5031.0,2199.0,2831.0,744.0,232.0,511.0,32.0,,81.0,275.0,115.0,160.0,,1238.0,2378.0,755.0,1623.0,324.0,,324.0,1299.0,,1299.0,
TPB,Q12023,,,3421.0,8983.0,56286.0,38778.0,17508.0,,,,,282.0,170659.0,172753.0,-2094.0,115.0,116.0,-1.0,78680.0,78815.0,45.0,-180.0,,,,,,1135.0,856.0,754.0,-475.0,,279.0,,,,23962.0,15154.0,3393.0,,5421.0,,-5.0,343522.0,,413.0,82742.0,59511.0,23231.0,200998.0,,153.0,19086.0,6467.0,5340.0,,1375.0,,309860.0,33662.0,18379.0,15818.0,2561.0,,,,,2113.0,138.0,,5917.0,,,343522.0,6715.0,3978.0,2737.0,889.0,193.0,696.0,151.0,,34.0,186.0,145.0,41.0,,1579.0,2080.0,315.0,1765.0,352.0,,352.0,1413.0,,1413.0,
TPB,Q12024,,,1789.0,11378.0,56447.0,41430.0,15017.0,,5.0,5.0,,,198128.0,200829.0,-2701.0,805.0,811.0,-6.0,62152.0,62199.0,45.0,-92.0,,,,,,999.0,686.0,895.0,-582.0,,313.0,,,,24168.0,16107.0,3554.0,,4597.0,,-90.0,355870.0,,341.0,92481.0,66912.0,25569.0,190827.0,268.0,76.0,31811.0,5876.0,4209.0,,1667.0,,321680.0,34190.0,22016.0,22016.0,,,,,,3052.0,420.0,,9114.0,0.0,,355870.0,6533.0,3106.0,3427.0,947.0,232.0,715.0,83.0,1.0,475.0,223.0,239.0,-16.0,,1676.0,3009.0,1181.0,1829.0,366.0,,366.0,1463.0,,1463.0,
TPB,Q22010,,,213.0,180.0,1196.0,1196.0,0.0,0.0,195.0,199.0,-4.0,0.0,3776.0,3810.0,-34.0,,,,4931.0,4931.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,105.0,83.0,32.0,-9.0,0.0,22.0,0.0,0.0,0.0,1794.0,648.0,291.0,0.0,854.0,0.0,0.0,12400.0,,236.0,2712.0,2712.0,0.0,5611.0,22.0,356.0,1166.0,184.0,100.0,0.0,84.0,0.0,10286.0,2114.0,1989.0,1750.0,0.0,239.0,0.0,0.0,0.0,29.0,0.0,0.0,96.0,,0.0,12400.0,569.0,492.0,78.0,8.0,2.0,5.0,-16.0,8.0,7.0,40.0,6.0,34.0,1.0,41.0,76.0,2.0,74.0,18.0,0.0,18.0,56.0,0.0,56.0,0.0
TPB,Q22011,,,99.0,81.0,6622.0,6622.0,0.0,0.0,34.0,41.0,-7.0,0.0,4725.0,4794.0,-69.0,,,,7094.0,7094.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,110.0,93.0,33.0,-16.0,0.0,17.0,0.0,0.0,0.0,8275.0,4618.0,413.0,0.0,3245.0,0.0,0.0,27050.0,,0.0,12438.0,12438.0,0.0,7704.0,69.0,1034.0,2151.0,450.0,233.0,0.0,218.0,0.0,23846.0,3204.0,2997.0,3000.0,0.0,0.0,-3.0,0.0,0.0,42.0,-7.0,0.0,172.0,,0.0,27050.0,568.0,644.0,-76.0,9.0,38.0,-29.0,-44.0,11.0,0.0,301.0,5.0,296.0,0.0,54.0,103.0,1.0,103.0,0.0,0.0,0.0,103.0,0.0,103.0,0.0
TPB,Q22016,,,685.0,913.0,18578.0,12511.0,6067.0,,,,,8.0,37434.0,37793.0,-359.0,678.0,683.0,-5.0,24129.0,23425.0,989.0,-285.0,,,,,,93.0,93.0,104.0,-60.0,,44.0,44.0,101.0,-56.0,7624.0,4342.0,1161.0,,3021.0,,-900.0,89508.0,,1134.0,35760.0,19387.0,16373.0,45799.0,107.0,200.0,1.0,1053.0,771.0,,283.0,,83945.0,5562.0,4930.0,5842.0,,-909.0,-3.0,,,77.0,24.0,,532.0,,,89508.0,1187.0,718.0,469.0,35.0,13.0,22.0,9.0,,25.0,0.0,3.0,-3.0,,352.0,171.0,59.0,112.0,5.0,,5.0,107.0,,107.0,
TPB,Q22017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.0,1072.0,690.0,68.0,16.0,51.0,-20.0,,45.0,13.0,1.0,11.0,,361.0,417.0,149.0,267.0,5.0,,5.0,262.0,,262.0,
TPB,Q22018,,,1001.0,5778.0,15734.0,14829.0,905.0,,,,,,72918.0,73770.0,-852.0,540.0,544.0,-4.0,22992.0,22656.0,802.0,-465.0,,,,,,280.0,190.0,190.0,-99.0,,91.0,,,,7285.0,4860.0,1150.0,,1312.0,,-37.0,126533.0,,1031.0,29971.0,24353.0,5618.0,75170.0,91.0,1846.0,6807.0,2051.0,1214.0,,837.0,,116876.0,9657.0,7977.0,6718.0,,1314.0,-55.0,,,305.0,,,1374.0,,,126533.0,2292.0,1230.0,1062.0,208.0,39.0,170.0,73.0,,58.0,99.0,3.0,96.0,,642.0,816.0,305.0,512.0,205.0,,205.0,307.0,,307.0,
TPB,Q22019,,,1937.0,5395.0,17084.0,17084.0,100.0,,,,,87.0,87837.0,88957.0,-1120.0,1015.0,1023.0,-8.0,24128.0,24127.0,471.0,-471.0,,,,,,332.0,239.0,230.0,-137.0,,93.0,,,,7932.0,4888.0,1390.0,,1654.0,,,145716.0,,1605.0,35516.0,22889.0,12627.0,80874.0,,480.0,13093.0,2868.0,1442.0,,1425.0,,134434.0,11282.0,7883.0,8566.0,,0.0,-683.0,,,576.0,,,2823.0,,,145716.0,2904.0,1500.0,1404.0,330.0,61.0,269.0,29.0,,196.0,36.0,17.0,19.0,,795.0,1122.0,355.0,767.0,154.0,,154.0,613.0,,613.0,
TPB,Q22020,,,1621.0,7702.0,23350.0,18962.0,4388.0,,,,,59.0,98754.0,100419.0,-1665.0,1113.0,1122.0,-8.0,38211.0,38324.0,45.0,-158.0,,,,,,602.0,387.0,419.0,-204.0,,215.0,,,,9926.0,6884.0,1565.0,,1503.0,,-26.0,181340.0,,772.0,45992.0,31271.0,14722.0,96214.0,,710.0,19643.0,3537.0,2080.0,,1457.0,,166868.0,14472.0,7657.0,8566.0,,0.0,-909.0,,,1040.0,175.0,,5774.0,,,181340.0,3548.0,1783.0,1765.0,314.0,155.0,159.0,277.0,,183.0,110.0,35.0,75.0,,992.0,1467.0,442.0,1025.0,,,,1025.0,206.0,819.0,
