LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2009,Q1/2010,Q2/2010,Q3/2010,Q4/2010
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,276,141,339,-479,"2,746"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,69,82,-31,-51,105
Các khoản dự phòng,7,-3,-10,13,11
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",64,,-21,21,-1
"Lãi, lỗ từ hoạt động đầu tư",-207,-112,-19,131,"-1,757"
Chi phí lãi vay,30,44,43,-87,234
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,238,151,301,-452,"1,337"
"Tăng, giảm các khoản phải thu",8,-93,16,77,-45
"Tăng, giảm hàng tồn kho",113,-78,-26,104,-99
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-217,27,-25,-2,344
"Tăng, giảm chi phí trả trước",,,,,
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,74,-20,-20,40,-105
Thuế thu nhập doanh nghiệp đã nộp,,-57,-9,66,-93
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,-3,,3,-2
Lưu chuyển tiền thuần từ hoạt động kinh doanh,216,-74,238,-164,"1,337"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-142,-125,-55,180,-851
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-4,18,-16,-2,3
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-342,"-1,106",-534,"1,640",-936
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",478,600,-600,,986
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,"1,605","-1,605","-1,596"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,133
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",103,27,55,-81,252
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,"-6,212"
10. Tiền thu khác từ hoạt động đầu tư,,,,,"6,448"
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,94,-586,454,131,"-1,773"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",651,,,,"1,098"
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",-457,,,,
3. Tiền thu từ đi vay,,374,235,-610,"3,323"
4. Tiền trả nợ gốc vay,-56,-353,-433,786,"-1,688"
5. Tiền trả nợ gốc thuê tài chính,,,,,-10
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-383,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,-244,22,-198,176,"2,723"
Lưu chuyển tiền thuần trong kỳ,66,-639,495,144,"2,287"
Tiền và tương đương tiền đầu kỳ,753,"1,124",485,980,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,-16
Tiền và tương đương tiền cuối kỳ,819,485,980,,"3,395"
