LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,620,544,117,464,493
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,69,101,105,109,-203
Các khoản dự phòng,10,4,4,2,367
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,,-7,-2
"Lãi, lỗ từ hoạt động đầu tư",189,786,,-189,-62
Chi phí lãi vay,-243,362,65,51,102
"Lãi, lỗ từ thanh lý TSCĐ",,5,,,
Thu nhập lãi vay và cổ tức,,-789,-99,99,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,15,58,62
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,645,"1,013",207,587,756
"Tăng, giảm các khoản phải thu",-274,278,-408,181,-173
"Tăng, giảm hàng tồn kho",-86,422,-227,-177,-206
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",280,84,-285,51,288
"Tăng, giảm chi phí trả trước",,,,,
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-357,-198,-36,-740,-377
Thuế thu nhập doanh nghiệp đã nộp,-10,-99,-86,-498,-72
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,,2,-5,-12,-8
Lưu chuyển tiền thuần từ hoạt động kinh doanh,198,"1,502",-839,-609,207
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-2,019","-1,752","-1,449",-880,-929
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,1,,,1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","13,303",,,-214,214
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","-13,055",708,,"1,841",-970
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-421,"-4,022",-645,645,-429
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"-1,968","2,016",,-637,"1,491"
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",119,102,214,81,125
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,"-1,357","1,554","-1,554",
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,421,,,
11. Tiền chi khác cho hoạt động đầu tư,,-48,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-4,041","-3,932",-327,-719,-496
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2,720",,"2,783",361,"5,456"
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","-4,647",,,,"-3,490"
3. Tiền thu từ đi vay,"1,740","1,546","1,172","1,959",-214
4. Tiền trả nợ gốc vay,-399,-878,"-1,649","-1,524","-1,655"
5. Tiền trả nợ gốc thuê tài chính,-54,54,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-10,,-15,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,"3,022",-21,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"2,382",691,"2,306",781,97
Lưu chuyển tiền thuần trong kỳ,"-1,461","-1,738","1,140",-547,-192
Tiền và tương đương tiền đầu kỳ,"8,921","7,459","5,719","6,858","6,342"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,-3,,31,-35
Tiền và tương đương tiền cuối kỳ,"7,459","5,719","6,858","6,342","6,115"
