SHB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"1,883","2,099","2,205","2,423","2,467"
2. Chi phí lãi và các chi phí tương tự,"1,477","1,520","1,688","1,855","2,037"
I. Thu nhập lãi thuần,406,580,518,568,430
3. Thu nhập từ hoạt động dịch vụ,30,46,137,77,35
4. Chi phí hoạt động dịch vụ,6,17,9,5,11
II. Lãi/lỗ thuần từ hoạt động dịch vụ,24,28,128,72,24
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,35,18,0,12,20
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,0,-18,3,-1
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,-3,-8,4,-3
5. Thu nhập từ hoạt động khác,1,1,71,8,108
6. Chi phí hoạt động khác,0,0,1,8,20
VI. Lãi/lỗ thuần từ hoạt động khác,1,1,70,0,89
"VII. Thu nhập từ góp vốn, mua cổ phần",6,1,2,1,0
VIII. Chi phí hoạt động,255,304,339,292,313
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),216,321,354,369,246
X. Chi phí dự phòng rủi ro tín dụng,8,25,59,69,-54
XI. Tổng lợi nhuận trước thuế (IX-X),208,296,294,301,301
7. Chi phí thuế TNDN hiện hành,51,74,73,76,78
8. Chi phí thuế TNDN hoãn lại,0,0,0,0,0
XII. Chi phí thuế TNDN,51,74,73,76,78
XIII. Lợi nhuận sau thuế (XI-XII),158,223,221,225,223
XIV. Lợi ích của cổ đông thiểu số,0,0,0,0,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),158,223,221,225,223
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,0,0
