SHB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,689,868,881,"1,304","1,593"
2. Chi phí lãi và các chi phí tương tự,477,517,638,889,"1,199"
I. Thu nhập lãi thuần,212,351,243,415,394
3. Thu nhập từ hoạt động dịch vụ,63,27,17,19,43
4. Chi phí hoạt động dịch vụ,17,4,6,-7,5
II. Lãi/lỗ thuần từ hoạt động dịch vụ,46,24,11,25,38
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,29,0,5,20,2
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,10,0,-1,2
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,-1,40,18,0
5. Thu nhập từ hoạt động khác,1,1,32,17,4
6. Chi phí hoạt động khác,0,0,0,15,0
VI. Lãi/lỗ thuần từ hoạt động khác,1,1,32,3,4
"VII. Thu nhập từ góp vốn, mua cổ phần",0,7,0,1,0
VIII. Chi phí hoạt động,127,141,170,244,227
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),161,250,162,236,212
X. Chi phí dự phòng rủi ro tín dụng,0,91,2,58,10
XI. Tổng lợi nhuận trước thuế (IX-X),161,159,159,179,202
7. Chi phí thuế TNDN hiện hành,40,38,40,45,51
8. Chi phí thuế TNDN hoãn lại,0,,0,,0
XII. Chi phí thuế TNDN,40,38,40,45,51
XIII. Lợi nhuận sau thuế (XI-XII),121,121,119,134,152
XIV. Lợi ích của cổ đông thiểu số,0,,0,,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),121,121,119,134,152
Lãi cơ bản trên cổ phiếu (BCTC),0,,0,,0
