SHB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"8,187","3,681","2,451","2,395","2,060"
2. Chi phí lãi và các chi phí tương tự,"7,802","3,359","2,024","1,744","1,510"
I. Thu nhập lãi thuần,385,322,428,651,550
3. Thu nhập từ hoạt động dịch vụ,100,48,45,48,53
4. Chi phí hoạt động dịch vụ,75,14,11,14,13
II. Lãi/lỗ thuần từ hoạt động dịch vụ,25,33,34,34,40
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,5,-3,58,34,38
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-3,4,-3,-10,10
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-5,121,1,-9,-3
5. Thu nhập từ hoạt động khác,27,758,18,42,14
6. Chi phí hoạt động khác,10,6,2,5,5
VI. Lãi/lỗ thuần từ hoạt động khác,17,752,15,37,9
"VII. Thu nhập từ góp vốn, mua cổ phần",4,7,0,1,2
VIII. Chi phí hoạt động,"1,043",653,456,427,379
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),-615,582,76,311,267
X. Chi phí dự phòng rủi ro tín dụng,"1,092",-551,-141,128,-47
XI. Tổng lợi nhuận trước thuế (IX-X),"-1,707","1,133",218,183,314
7. Chi phí thuế TNDN hiện hành,0,0,55,42,78
8. Chi phí thuế TNDN hoãn lại,,0,,,
XII. Chi phí thuế TNDN,0,0,55,42,78
XIII. Lợi nhuận sau thuế (XI-XII),"-1,707","1,132",163,141,236
XIV. Lợi ích của cổ đông thiểu số,,0,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"-1,707","1,132",163,141,236
Lãi cơ bản trên cổ phiếu (BCTC),,0,,,
