SHB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"2,669","3,157","2,942","3,509","3,392"
2. Chi phí lãi và các chi phí tương tự,"2,052","2,316","2,131","2,338","2,504"
I. Thu nhập lãi thuần,617,841,811,"1,171",888
3. Thu nhập từ hoạt động dịch vụ,55,45,60,176,42
4. Chi phí hoạt động dịch vụ,32,6,22,24,15
II. Lãi/lỗ thuần từ hoạt động dịch vụ,23,38,38,152,27
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,36,11,23,22,26
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,1,2,0,1,0
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,-52,3,7,-3
5. Thu nhập từ hoạt động khác,38,30,191,44,70
6. Chi phí hoạt động khác,37,21,71,23,30
VI. Lãi/lỗ thuần từ hoạt động khác,0,9,119,21,40
"VII. Thu nhập từ góp vốn, mua cổ phần",0,3,0,5,1
VIII. Chi phí hoạt động,460,342,609,624,507
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),217,510,386,756,473
X. Chi phí dự phòng rủi ro tín dụng,8,239,139,457,168
XI. Tổng lợi nhuận trước thuế (IX-X),209,272,247,299,305
7. Chi phí thuế TNDN hiện hành,43,58,55,59,61
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,43,58,55,59,61
XIII. Lợi nhuận sau thuế (XI-XII),166,214,193,240,244
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),166,214,193,240,244
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
