PLX,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"31,185","29,284","35,077","35,811","38,460"
2. Các khoản giảm trừ doanh thu,7,11,8,9,11
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"31,178","29,273","35,069","35,801","38,449"
4. Giá vốn hàng bán,"27,735","25,918","30,655","32,619","35,277"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,443","3,355","4,414","3,182","3,172"
6.Doanh thu hoạt động tài chính,335,149,274,254,218
7. Chi phí tài chính,192,276,221,233,208
Trong đó :Chi phí lãi vay,146,140,105,142,145
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",138,154,156,172,116
9. Chi phí bán hàng,"1,871","1,905","2,219","1,800","2,077"
10. Chi phí quản lý doanh nghiệp,269,229,298,239,270
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,584","1,248","2,105","1,336",952
12. Thu nhập khác,-116,62,189,33,178
13. Chi phí khác,36,42,58,19,37
14. Lợi nhuận khác,-152,20,131,14,141
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,432","1,267","2,236","1,350","1,093"
16. Chi phí thuế TNDN hiện hành,273,211,407,243,184
17. Chi phí thuế TNDN hoãn lại,0,-4,-6,1,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,159","1,060","1,835","1,106",909
Lợi ích của cổ đông thiểu số,161,117,127,117,122
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,998,943,"1,708",989,787
19. Lãi cơ bản trên cổ phiếu (*),932,771,"1,372",868,417
20. Lãi suy giảm trên cổ phiếu (*),,,,,
