PLX,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"38,495","26,730","27,481","31,304","38,269"
2. Các khoản giảm trừ doanh thu,17,21,19,27,22
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"38,478","26,709","27,462","31,277","38,247"
4. Giá vốn hàng bán,"38,028","23,957","24,326","27,560","34,853"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,450,"2,752","3,136","3,717","3,394"
6.Doanh thu hoạt động tài chính,230,286,198,208,210
7. Chi phí tài chính,352,204,231,164,186
Trong đó :Chi phí lãi vay,201,181,193,146,144
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",134,126,152,186,170
9. Chi phí bán hàng,"2,016","2,082","2,011","2,507","2,422"
10. Chi phí quản lý doanh nghiệp,149,186,217,265,181
11. Lợi nhuận thuần từ hoạt động kinh doanh,"-1,703",692,"1,028","1,174",984
12. Thu nhập khác,26,104,97,49,36
13. Chi phí khác,25,5,11,19,6
14. Lợi nhuận khác,1,99,86,31,29
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"-1,702",791,"1,114","1,205","1,013"
16. Chi phí thuế TNDN hiện hành,111,62,68,-40,216
17. Chi phí thuế TNDN hoãn lại,0,-4,125,238,60
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"-1,813",733,921,"1,007",736
Lợi ích của cổ đông thiểu số,80,56,68,73,75
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"-1,893",677,853,933,661
19. Lãi cơ bản trên cổ phiếu (*),"-1,590",477,629,689,602
20. Lãi suy giảm trên cổ phiếu (*),,,,,
