PLX,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"51,078","51,818","57,024","53,486","49,586"
2. Các khoản giảm trừ doanh thu,"1,319","1,328","1,371","1,322","1,363"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"49,759","50,490","55,653","52,164","48,222"
4. Giá vốn hàng bán,"48,057","48,692","53,199","50,170","47,306"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,702","1,798","2,454","1,994",916
6.Doanh thu hoạt động tài chính,276,145,205,294,181
7. Chi phí tài chính,294,222,535,112,748
Trong đó :Chi phí lãi vay,166,182,163,171,168
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,"1,229","1,324","1,592","1,494","1,647"
10. Chi phí quản lý doanh nghiệp,236,195,227,243,170
11. Lợi nhuận thuần từ hoạt động kinh doanh,219,201,306,440,"-1,468"
12. Thu nhập khác,219,55,166,63,484
13. Chi phí khác,30,34,48,32,215
14. Lợi nhuận khác,189,21,119,31,270
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,70,115,94,93,114
15. Tổng lợi nhuận kế toán trước thuế,479,337,519,563,"-1,085"
16. Chi phí thuế TNDN hiện hành,43,81,102,83,60
17. Chi phí thuế TNDN hoãn lại,1,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,435,256,416,480,"-1,145"
Lợi ích của cổ đông thiểu số,64,36,64,74,181
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,371,220,352,406,"-1,326"
19. Lãi cơ bản trên cổ phiếu (*),346,206,329,379,"-1,239"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
