PLX,Q3/2012,Q1/2013,Q2/2013,Q3/2013,Q4/2013
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"50,425","52,452","38,697","47,754","51,078"
2. Các khoản giảm trừ doanh thu,"1,412","1,372",,"1,372","1,319"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"49,013","51,080","38,697","46,382","49,759"
4. Giá vốn hàng bán,"46,829","49,419","38,087","44,295","48,057"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,184","1,661",611,"2,087","1,702"
6.Doanh thu hoạt động tài chính,185,172,607,203,276
7. Chi phí tài chính,381,323,523,155,294
Trong đó :Chi phí lãi vay,190,159,73,129,166
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,"1,442","1,265",395,"1,330","1,229"
10. Chi phí quản lý doanh nghiệp,188,207,,236,236
11. Lợi nhuận thuần từ hoạt động kinh doanh,359,38,300,569,219
12. Thu nhập khác,43,292,33,59,219
13. Chi phí khác,24,126,-139,45,30
14. Lợi nhuận khác,19,166,172,14,189
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,99,130,,99,70
15. Tổng lợi nhuận kế toán trước thuế,476,334,472,682,479
16. Chi phí thuế TNDN hiện hành,53,88,12,45,43
17. Chi phí thuế TNDN hoãn lại,0,1,,-1,1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,423,245,460,638,435
Lợi ích của cổ đông thiểu số,48,28,,45,64
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,375,217,460,593,371
19. Lãi cơ bản trên cổ phiếu (*),350,203,,461,346
20. Lãi suy giảm trên cổ phiếu (*),,,,,
