PLX,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"46,618","34,645","49,398","67,044","84,398"
2. Các khoản giảm trừ doanh thu,29,20,26,24,30
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"46,589","34,625","49,372","67,020","84,367"
4. Giá vốn hàng bán,"42,435","32,590","46,322","64,242","81,965"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"4,154","2,036","3,049","2,777","2,403"
6.Doanh thu hoạt động tài chính,236,263,290,321,416
7. Chi phí tài chính,174,214,260,300,512
Trong đó :Chi phí lãi vay,148,164,144,155,166
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",172,73,153,234,177
9. Chi phí bán hàng,"2,452","1,925","2,385","2,298","2,570"
10. Chi phí quản lý doanh nghiệp,207,149,245,182,209
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,729",83,602,553,-295
12. Thu nhập khác,75,29,261,26,40
13. Chi phí khác,75,0,34,8,23
14. Lợi nhuận khác,0,29,227,18,17
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,728",112,829,571,-279
16. Chi phí thuế TNDN hiện hành,230,33,129,131,115
17. Chi phí thuế TNDN hoãn lại,-15,-1,-1,-3,-253
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,514",80,701,442,-141
Lợi ích của cổ đông thiểu số,107,3,107,199,55
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,406",76,595,243,-196
19. Lãi cơ bản trên cổ phiếu (*),"1,078",63,453,208,-232
20. Lãi suy giảm trên cổ phiếu (*),,,,,
