PLX,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"73,721","78,411","67,459","65,777","72,439"
2. Các khoản giảm trừ doanh thu,26,28,27,25,25
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"73,695","78,383","67,432","65,752","72,414"
4. Giá vốn hàng bán,"70,892","74,097","63,873","61,913","68,635"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,803","4,286","3,559","3,839","3,780"
6.Doanh thu hoạt động tài chính,279,920,514,433,"1,189"
7. Chi phí tài chính,319,560,382,357,627
Trong đó :Chi phí lãi vay,154,168,233,230,226
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",143,145,150,199,137
9. Chi phí bán hàng,"2,407","3,191","2,808","2,907","3,110"
10. Chi phí quản lý doanh nghiệp,196,241,207,217,216
11. Lợi nhuận thuần từ hoạt động kinh doanh,302,"1,358",826,990,"1,153"
12. Thu nhập khác,26,305,26,51,39
13. Chi phí khác,15,17,13,11,12
14. Lợi nhuận khác,10,288,12,40,27
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,313,"1,646",838,"1,030","1,180"
16. Chi phí thuế TNDN hiện hành,-16,187,95,176,438
17. Chi phí thuế TNDN hoãn lại,139,45,76,4,13
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,190,"1,414",667,850,729
Lợi ích của cổ đông thiểu số,91,246,47,76,-9
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,99,"1,168",620,774,738
19. Lãi cơ bản trên cổ phiếu (*),78,894,462,583,560
20. Lãi suy giảm trên cổ phiếu (*),,,,,
