PLX,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
7. Phải trả dài hạn khác,133,123,115,116,123
8. Vay và nợ thuê tài chính dài hạn,"1,455","1,409","1,273","1,317","1,307"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,11,11,11,29,30
12. Dự phòng phải trả dài hạn,57,53,43,108,74
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"21,960","22,348","23,305","24,136","26,478"
I. Vốn chủ sở hữu,"21,960","22,348","23,305","24,136","26,478"
1. Vốn góp của chủ sở hữu,"12,939","12,939","12,939","12,939","12,939"
- Cổ phiếu phổ thông có quyền biểu quyết,"12,939","12,939","12,939","12,939","12,939"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"3,926","4,312","4,988","4,988","6,163"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,"1,101","1,101","1,101","1,101","1,128"
5. Cổ phiếu quỹ (*),"-1,031",-922,-751,-751,-501
6. Chênh lệch đánh giá lại tài sản,"-1,295","-1,295","-1,295","-1,295","-1,295"
7. Chênh lệch tỷ giá hối đoái,19,12,12,-147,12
8. Quỹ đầu tư phát triển,"1,193","1,286","1,296","1,297","1,305"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,91,92,108,111,114
11. Lợi nhuận sau thuế chưa phân phối,"1,847","1,901","2,030","2,934","3,588"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"3,740","3,117","1,993","1,963","2,927"
- LNST chưa phân phối kỳ này,"-1,893","-1,216",37,970,661
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"3,170","2,922","2,876","2,959","3,024"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"55,079","59,344","57,472","61,143","64,512"
