PLX,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"39,397","46,889","37,031","33,664","27,553"
2. Các khoản giảm trừ doanh thu,"1,460","3,323","4,149",9,12
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"37,937","43,566","32,882","33,655","27,541"
4. Giá vốn hàng bán,"35,155","39,893","29,759","30,827","24,588"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,782","3,672","3,123","2,828","2,952"
6.Doanh thu hoạt động tài chính,133,183,231,264,180
7. Chi phí tài chính,705,819,722,369,186
Trong đó :Chi phí lãi vay,155,147,124,175,156
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,114,155
9. Chi phí bán hàng,"1,576","1,607","1,803","1,467","1,703"
10. Chi phí quản lý doanh nghiệp,219,245,248,270,233
11. Lợi nhuận thuần từ hoạt động kinh doanh,415,"1,184",581,"1,099","1,167"
12. Thu nhập khác,82,168,120,134,235
13. Chi phí khác,61,159,84,103,31
14. Lợi nhuận khác,21,9,36,31,204
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,140,124,130,,0
15. Tổng lợi nhuận kế toán trước thuế,576,"1,317",748,"1,130","1,371"
16. Chi phí thuế TNDN hiện hành,114,193,188,135,234
17. Chi phí thuế TNDN hoãn lại,1,-1,3,-8,2
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,461,"1,125",557,"1,003","1,134"
Lợi ích của cổ đông thiểu số,73,97,67,100,105
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,388,"1,029",489,903,"1,029"
19. Lãi cơ bản trên cổ phiếu (*),362,961,457,844,994
20. Lãi suy giảm trên cổ phiếu (*),,,,,0
