PLX,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"49,101","41,972","49,746","48,652","49,359"
2. Các khoản giảm trừ doanh thu,11,11,11,12,19
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"49,090","41,961","49,735","48,640","49,340"
4. Giá vốn hàng bán,"45,791","38,183","46,191","45,263","45,782"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,299","3,778","3,544","3,377","3,557"
6.Doanh thu hoạt động tài chính,260,167,232,259,332
7. Chi phí tài chính,254,206,333,212,207
Trong đó :Chi phí lãi vay,226,185,239,173,199
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",175,166,171,174,165
9. Chi phí bán hàng,"2,296","2,254","2,007","2,150","2,276"
10. Chi phí quản lý doanh nghiệp,153,135,149,151,198
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,031","1,517","1,459","1,297","1,373"
12. Thu nhập khác,142,60,47,29,69
13. Chi phí khác,47,8,14,16,38
14. Lợi nhuận khác,95,52,33,13,31
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,125","1,568","1,492","1,311","1,405"
16. Chi phí thuế TNDN hiện hành,189,260,242,197,313
17. Chi phí thuế TNDN hoãn lại,10,14,-1,2,-41
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,926,"1,294","1,251","1,112","1,132"
Lợi ích của cổ đông thiểu số,98,94,113,153,157
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,828,"1,201","1,138",960,975
19. Lãi cơ bản trên cổ phiếu (*),714,"1,036",876,712,691
20. Lãi suy giảm trên cổ phiếu (*),,,,,
