VHM,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"8,698","8,211","28,218","33,323","33,136"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"8,698","8,211","28,218","33,323","33,136"
4. Giá vốn hàng bán,"7,815","6,437","19,904","23,572","21,180"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,882,"1,774","8,314","9,751","11,957"
6.Doanh thu hoạt động tài chính,"4,913","1,956","8,124","5,498","10,500"
7. Chi phí tài chính,"1,760","1,369","2,457","1,555","2,961"
Trong đó :Chi phí lãi vay,"1,014","1,066","1,465","1,508","2,539"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",11,1,1,1,1
9. Chi phí bán hàng,478,387,865,"1,629","1,295"
10. Chi phí quản lý doanh nghiệp,"2,421",525,780,"1,109","2,281"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,147","1,451","12,337","10,957","15,920"
12. Thu nhập khác,251,404,238,276,84
13. Chi phí khác,75,438,327,397,152
14. Lợi nhuận khác,176,-34,-89,-120,-67
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,323","1,416","12,248","10,837","15,853"
16. Chi phí thuế TNDN hiện hành,-615,510,"2,351","3,253",262
17. Chi phí thuế TNDN hoãn lại,"1,047",2,-712,"-1,396","1,487"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,891,904,"10,609","8,980","14,104"
Lợi ích của cổ đông thiểu số,,20,-175,"1,114","2,567"
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,891,885,"10,784","7,866","11,537"
19. Lãi cơ bản trên cổ phiếu (*),190,203,"2,477","1,806","2,674"
20. Lãi suy giảm trên cổ phiếu (*),,203,,,
