VHM,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"16,400","5,853","20,917","10,906","14,184"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"16,400","5,853","20,917","10,906","14,184"
4. Giá vốn hàng bán,"13,666","4,524","11,628","4,140","4,165"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,735","1,329","9,289","6,766","10,018"
6.Doanh thu hoạt động tài chính,"3,644","2,940","2,378","2,340","1,388"
7. Chi phí tài chính,842,507,684,787,589
Trong đó :Chi phí lãi vay,838,495,660,717,584
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,541,233,345,364,"1,212"
10. Chi phí quản lý doanh nghiệp,421,194,620,281,"1,022"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"4,575","3,335","10,018","7,673","8,584"
12. Thu nhập khác,-8,32,53,28,92
13. Chi phí khác,59,9,13,75,31
14. Lợi nhuận khác,-67,23,40,-48,60
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"4,508","3,358","10,058","7,626","8,645"
16. Chi phí thuế TNDN hiện hành,"1,724",574,"2,194","1,185","1,772"
17. Chi phí thuế TNDN hoãn lại,226,97,-592,299,14
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,558","2,687","8,456","6,142","6,858"
Lợi ích của cổ đông thiểu số,211,147,"1,212",671,877
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,347","2,540","7,243","5,470","5,981"
19. Lãi cơ bản trên cổ phiếu (*),701,758,,"1,633","1,796"
20. Lãi suy giảm trên cổ phiếu (*),,758,,,
