VHM,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,519","16,377","26,483","21,512","12,986"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,519","16,377","26,483","21,512","12,986"
4. Giá vốn hàng bán,"3,570","9,923","17,368","14,214","6,774"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,949","6,455","9,115","7,298","6,212"
6.Doanh thu hoạt động tài chính,"8,591","1,007","1,119","10,175","2,307"
7. Chi phí tài chính,634,701,"1,204","1,190",361
Trong đó :Chi phí lãi vay,618,701,"1,088",592,595
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,21
9. Chi phí bán hàng,245,581,"1,126",780,457
10. Chi phí quản lý doanh nghiệp,533,261,450,838,668
11. Lợi nhuận thuần từ hoạt động kinh doanh,"10,128","5,919","7,453","14,666","7,054"
12. Thu nhập khác,24,41,63,181,44
13. Chi phí khác,28,929,14,-1,13
14. Lợi nhuận khác,-4,-888,49,182,31
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"10,124","5,030","7,502","14,848","7,085"
16. Chi phí thuế TNDN hiện hành,"2,337","1,213","1,965","3,171","1,238"
17. Chi phí thuế TNDN hoãn lại,141,17,-608,117,369
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"7,645","3,801","6,146","11,560","5,478"
Lợi ích của cổ đông thiểu số,801,42,88,57,82
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"6,844","3,758","6,058","11,502","5,396"
19. Lãi cơ bản trên cổ phiếu (*),"2,080","1,143","1,842","3,497","1,640"
20. Lãi suy giảm trên cổ phiếu (*),"2,080","1,143","1,842",,"1,640"
