VHM,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"28,725","20,679","23,413","8,923","4,530"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"28,725","20,679","23,413","8,923","4,530"
4. Giá vốn hàng bán,"14,369","7,032","9,314","5,058","3,139"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"14,356","13,648","14,099","3,866","1,391"
6.Doanh thu hoạt động tài chính,576,"1,394","3,732","3,829","1,210"
7. Chi phí tài chính,614,512,"1,088",477,709
Trong đó :Chi phí lãi vay,613,502,624,476,694
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",11,22,,11,11
9. Chi phí bán hàng,579,276,"1,014",327,354
10. Chi phí quản lý doanh nghiệp,517,384,"1,938","1,077",494
11. Lợi nhuận thuần từ hoạt động kinh doanh,"13,233","13,891","13,790","5,824","1,055"
12. Thu nhập khác,76,-31,336,76,298
13. Chi phí khác,58,48,1,15,96
14. Lợi nhuận khác,18,-80,336,62,202
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"13,251","13,812","14,126","5,886","1,257"
16. Chi phí thuế TNDN hiện hành,"3,003","2,601","2,131","1,054",580
17. Chi phí thuế TNDN hoãn lại,-55,16,9,107,54
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"10,303","11,195","11,986","4,725",622
Lợi ích của cổ đông thiểu số,70,28,54,185,113
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"10,232","11,167","11,932","4,540",509
19. Lãi cơ bản trên cổ phiếu (*),"3,111","2,586","2,740","1,043",117
20. Lãi suy giảm trên cổ phiếu (*),,,,,
