Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
01/10/2021,154.2,66.79,-2.2(-1.41 %),"149,400",23.14,"99,750",14.51,156.5,156.5,154
30/09/2021,156.4,67.74,-0.4(-0.26 %),"80,000",12.54,"62,000",9.99,156.5,157,156.2
29/09/2021,156.8,67.92,-0.3(-0.19 %),"124,500",19.33,"78,000",12.21,157.3,157.3,154.1
28/09/2021,157.1,68.05,-1.9(-1.19 %),"130,500",20.54,"49,900",7.84,158,158.4,157
27/09/2021,159,68.87,-1(-0.62 %),"80,500",12.81,"62,000",9.97,160,160.2,157.8
24/09/2021,160,69.3,1.8(1.14 %),"82,100",13.05,"28,000",4.47,159.7,160,158.2
23/09/2021,158.2,68.52,0.2(0.13 %),"81,000",12.83,0,0,160.8,160.8,157.9
22/09/2021,158,68.44,0(0.00 %),"91,500",14.51,"62,000",10.04,158.5,159.5,158
21/09/2021,158,68.44,-0.3(-0.19 %),"112,100",17.66,"28,000",4.37,158.1,159.9,156
20/09/2021,158.3,68.57,-2.7(-1.68 %),"103,500",16.5,0,0,162,162,158.3
17/09/2021,161,69.74,0(0.00 %),"796,700",127.98,"1,012,000",163.07,160,161,157.6
16/09/2021,161,69.74,-5(-3.01 %),"200,200",32.41,"28,000",4.48,163.1,163.2,158.5
15/09/2021,166,71.9,0(0.00 %),"239,700",39.21,0,0,166,166,158.5
14/09/2021,166,71.9,4.5(2.79 %),"368,000",61.48,"135,200",21.9,161.9,169,160.5
13/09/2021,161.5,69.95,10.1(6.67 %),"950,000",152.18,"28,000",4.36,156.5,161.9,155.5
10/09/2021,151.4,65.58,2.6(1.75 %),"157,900",23.82,"50,000",7.54,148.7,151.9,148.7
09/09/2021,148.8,64.45,-1.1(-0.73 %),"79,700",11.87,"192,000",28.52,150.1,150.1,148.1
08/09/2021,149.9,64.93,1.2(0.81 %),"99,900",14.88,"71,500",10.55,148.8,149.9,148.3
07/09/2021,148.7,64.41,-0.5(-0.34 %),"128,900",19.32,0,0,149.5,150.8,148.5
06/09/2021,149.2,64.63,0.5(0.34 %),"115,800",17.25,"62,000",9.13,147.5,150,147.5
