FPT,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"8,018","10,724","12,603","10,199","10,199"
2. Các khoản giảm trừ doanh thu,0,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"8,018","10,724","12,603","10,199","10,199"
4. Giá vốn hàng bán,"7,008","9,531","11,475","8,902","9,038"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,009","1,193","1,128","1,297","1,161"
6.Doanh thu hoạt động tài chính,116,101,195,130,131
7. Chi phí tài chính,148,39,194,253,304
Trong đó :Chi phí lãi vay,7,52,103,86,99
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,225,279,346,298,146
10. Chi phí quản lý doanh nghiệp,332,387,361,451,367
11. Lợi nhuận thuần từ hoạt động kinh doanh,420,588,423,424,475
12. Thu nhập khác,55,54,63,59,54
13. Chi phí khác,40,41,54,40,38
14. Lợi nhuận khác,15,13,9,19,16
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,20,31,30,30,25
15. Tổng lợi nhuận kế toán trước thuế,455,632,462,474,516
16. Chi phí thuế TNDN hiện hành,70,121,88,69,107
17. Chi phí thuế TNDN hoãn lại,0,5,0,-24,-7
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,384,505,373,429,416
Lợi ích của cổ đông thiểu số,94,117,92,125,120
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,290,388,281,304,297
19. Lãi cơ bản trên cổ phiếu (*),"2,021","2,028","1,468","1,587","1,534"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
