FPT,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,645","6,997","7,579","8,701","7,606"
2. Các khoản giảm trừ doanh thu,14,17,26,34,19
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,631","6,980","7,553","8,667","7,586"
4. Giá vốn hàng bán,"4,006","4,258","4,554","5,196","4,692"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,624","2,722","2,999","3,471","2,895"
6.Doanh thu hoạt động tài chính,178,202,218,223,325
7. Chi phí tài chính,181,106,109,152,141
Trong đó :Chi phí lãi vay,100,101,86,99,100
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",80,69,68,95,115
9. Chi phí bán hàng,620,606,627,859,852
10. Chi phí quản lý doanh nghiệp,954,"1,013","1,179","1,355",962
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,128","1,268","1,369","1,423","1,380"
12. Thu nhập khác,19,28,39,45,23
13. Chi phí khác,4,11,22,21,7
14. Lợi nhuận khác,15,17,16,24,17
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,142","1,285","1,386","1,447","1,397"
16. Chi phí thuế TNDN hiện hành,204,186,239,307,225
17. Chi phí thuế TNDN hoãn lại,1,15,-2,-112,22
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,937,"1,084","1,149","1,253","1,151"
Lợi ích của cổ đông thiểu số,190,206,220,270,245
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,747,879,929,983,906
19. Lãi cơ bản trên cổ phiếu (*),"1,101","1,121","1,187",857,"1,156"
20. Lãi suy giảm trên cổ phiếu (*),"1,101","1,121","1,187",857,"1,156"
