FPT,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"14,696","14,093","15,246","15,972","17,651"
2. Các khoản giảm trừ doanh thu,5,0,1,70,43
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"14,690","14,093","15,245","15,903","17,608"
4. Giá vốn hàng bán,"9,059","8,582","9,594","9,744","11,129"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"5,632","5,510","5,651","6,159","6,479"
6.Doanh thu hoạt động tài chính,520,457,569,327,576
7. Chi phí tài chính,528,334,338,308,831
Trong đó :Chi phí lãi vay,207,138,150,129,135
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",58,74,59,143,118
9. Chi phí bán hàng,"1,316","1,369","1,588","1,564","1,684"
10. Chi phí quản lý doanh nghiệp,"1,980","1,823","1,717","1,808","1,735"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,387","2,516","2,636","2,948","2,922"
12. Thu nhập khác,65,45,28,35,41
13. Chi phí khác,16,27,-1,74,3
14. Lợi nhuận khác,48,18,29,-40,38
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,435","2,534","2,664","2,909","2,960"
16. Chi phí thuế TNDN hiện hành,425,390,561,441,536
17. Chi phí thuế TNDN hoãn lại,-41,-16,-180,-11,-70
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,051","2,160","2,283","2,479","2,494"
Lợi ích của cổ đông thiểu số,323,362,409,390,407
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,728","1,798","1,874","2,089","2,087"
19. Lãi cơ bản trên cổ phiếu (*),925,"1,416","1,098","1,430",994
20. Lãi suy giảm trên cổ phiếu (*),925,"1,416","1,098","1,430",994
