FPT,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"14,713","11,744","9,729","10,476","8,703"
2. Các khoản giảm trừ doanh thu,,,202,27,236
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"14,713","11,744","9,527","10,449","8,467"
4. Giá vốn hàng bán,"13,023","9,942","7,613","8,290","6,780"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,690","1,802","1,915","2,159","1,686"
6.Doanh thu hoạt động tài chính,89,98,111,157,161
7. Chi phí tài chính,121,143,195,166,124
Trong đó :Chi phí lãi vay,41,66,55,105,64
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,9,8,9,7
9. Chi phí bán hàng,523,523,589,501,598
10. Chi phí quản lý doanh nghiệp,507,531,628,815,578
11. Lợi nhuận thuần từ hoạt động kinh doanh,629,712,622,843,555
12. Thu nhập khác,38,12,45,54,19
13. Chi phí khác,17,8,38,2,11
14. Lợi nhuận khác,21,4,7,52,8
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,-5,-10,-10,,
15. Tổng lợi nhuận kế toán trước thuế,645,705,618,896,563
16. Chi phí thuế TNDN hiện hành,102,125,107,163,86
17. Chi phí thuế TNDN hoãn lại,-4,-11,-8,-61,31
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,547,591,519,795,447
Lợi ích của cổ đông thiểu số,123,134,130,118,101
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,425,457,389,676,346
19. Lãi cơ bản trên cổ phiếu (*),"1,235","1,152",981,"1,168",870
20. Lãi suy giảm trên cổ phiếu (*),,,,,870
