FPT,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"11,283","10,867","10,685","13,477","15,333"
2. Các khoản giảm trừ doanh thu,"8,617",,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"11,283","10,867","10,685","13,477","15,333"
4. Giá vốn hàng bán,"9,645","9,522","9,131","11,871","13,565"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,638","1,345","1,554","1,607","1,768"
6.Doanh thu hoạt động tài chính,184,84,76,98,109
7. Chi phí tài chính,59,61,88,78,129
Trong đó :Chi phí lãi vay,33,351,47,49,92
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,478,344,387,415,542
10. Chi phí quản lý doanh nghiệp,609,456,526,621,594
11. Lợi nhuận thuần từ hoạt động kinh doanh,677,567,628,591,612
12. Thu nhập khác,25,38,27,41,103
13. Chi phí khác,34,21,18,30,83
14. Lợi nhuận khác,-9,17,9,11,20
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,9,10,8,-3,-1
15. Tổng lợi nhuận kế toán trước thuế,676,595,645,599,631
16. Chi phí thuế TNDN hiện hành,141,106,96,103,101
17. Chi phí thuế TNDN hoãn lại,-6,-5,-9,-7,-3
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,541,494,557,504,534
Lợi ích của cổ đông thiểu số,67,119,130,115,83
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,474,375,428,389,451
19. Lãi cơ bản trên cổ phiếu (*),"1,727","1,314","1,243","1,131","1,310"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
