FPT,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"9,870","10,021","8,611","9,337","12,001"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"9,870","10,021","8,611","9,337","12,001"
4. Giá vốn hàng bán,"8,734","8,510","7,418","7,971","10,655"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,136","1,511","1,193","1,365","1,346"
6.Doanh thu hoạt động tài chính,129,323,63,78,60
7. Chi phí tài chính,91,268,63,83,65
Trong đó :Chi phí lãi vay,69,73,,30,34
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,237,311,255,297,344
10. Chi phí quản lý doanh nghiệp,413,629,387,388,450
11. Lợi nhuận thuần từ hoạt động kinh doanh,524,626,552,676,547
12. Thu nhập khác,163,-53,56,44,60
13. Chi phí khác,141,-78,35,24,49
14. Lợi nhuận khác,23,25,21,20,11
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,3,0,1,7,5
15. Tổng lợi nhuận kế toán trước thuế,550,651,574,702,563
16. Chi phí thuế TNDN hiện hành,97,122,105,125,106
17. Chi phí thuế TNDN hoãn lại,1,-15,-6,-7,-8
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,452,545,475,584,465
Lợi ích của cổ đông thiểu số,114,96,116,140,135
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,338,449,358,445,331
19. Lãi cơ bản trên cổ phiếu (*),"1,247","1,651","1,309","1,625","1,206"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
