FPT,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,975","5,672","6,834","7,139","8,147"
2. Các khoản giảm trừ doanh thu,23,6,8,34,27
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,952","5,666","6,826","7,104","8,120"
4. Giá vốn hàng bán,"4,381","3,387","4,248","4,322","5,049"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,571","2,279","2,578","2,783","3,071"
6.Doanh thu hoạt động tài chính,217,154,164,166,206
7. Chi phí tài chính,89,121,204,130,172
Trong đó :Chi phí lãi vay,75,73,72,101,121
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",111,95,124,119,66
9. Chi phí bán hàng,665,489,566,559,727
10. Chi phí quản lý doanh nghiệp,"1,058",981,931,"1,031","1,309"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,086",937,"1,165","1,347","1,136"
12. Thu nhập khác,-14,34,10,34,83
13. Chi phí khác,-42,11,-5,13,61
14. Lợi nhuận khác,28,23,14,21,21
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,115",960,"1,179","1,368","1,157"
16. Chi phí thuế TNDN hiện hành,186,168,195,208,191
17. Chi phí thuế TNDN hoãn lại,2,-2,-3,1,-6
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,926,794,986,"1,160",972
Lợi ích của cổ đông thiểu số,140,168,194,200,215
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,786,626,792,960,757
19. Lãi cơ bản trên cổ phiếu (*),913,"1,021","1,171","1,418",710
20. Lãi suy giảm trên cổ phiếu (*),913,"1,021","1,171","1,418",710
