FPT,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"10,974","12,661","4,757","5,479","6,048"
2. Các khoản giảm trừ doanh thu,143,166,6,5,12
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"10,831","12,496","4,751","5,474","6,036"
4. Giá vốn hàng bán,"8,415","9,645","2,895","3,474","3,740"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,416","2,850","1,856","2,001","2,296"
6.Doanh thu hoạt động tài chính,175,"1,135",153,113,124
7. Chi phí tài chính,139,129,142,70,67
Trong đó :Chi phí lãi vay,85,70,46,55,62
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",11,38,98,118,113
9. Chi phí bán hàng,756,869,423,452,508
10. Chi phí quản lý doanh nghiệp,824,"1,104",770,830,901
11. Lợi nhuận thuần từ hoạt động kinh doanh,882,"1,922",771,880,"1,057"
12. Thu nhập khác,35,30,34,28,13
13. Chi phí khác,36,12,24,1,20
14. Lợi nhuận khác,-1,18,9,27,-7
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,882,"1,940",781,906,"1,051"
16. Chi phí thuế TNDN hiện hành,145,348,106,147,160
17. Chi phí thuế TNDN hoãn lại,-7,25,22,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,744,"1,567",653,759,890
Lợi ích của cổ đông thiểu số,161,148,144,165,165
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,583,"1,420",509,594,725
19. Lãi cơ bản trên cổ phiếu (*),"1,100","2,279",959,971,"1,184"
20. Lãi suy giảm trên cổ phiếu (*),"1,100","2,279",959,971,"1,184"
