Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
20/12/2021,37.6(-1.70 %),"-4,000",-0.15,"5,100",0.19,"9,100",0.34,"498,113,400",0%
17/12/2021,38.25(1.06 %),"-49,400",-1.91,"24,100",0.93,"73,500",2.84,"498,109,400",0%
16/12/2021,37.85(0.26 %),"27,700",1.05,"43,100",1.64,"15,400",0.59,"498,060,000",0%
15/12/2021,37.75(-1.05 %),"-824,500",-31.46,"11,600",0.44,"836,100",31.9,"498,087,700",0%
14/12/2021,38.15(-0.91 %),"-38,400",-1.46,"4,800",0.18,"43,200",1.64,"497,263,200",0%
13/12/2021,38.5(2.67 %),"-10,500",-0.41,"7,500",0.29,"18,000",0.69,"497,224,800",0.57%
10/12/2021,37.5(0.40 %),"-122,500",-4.6,"4,200",0.16,"126,700",4.75,"497,214,300",0.57%
09/12/2021,37.35(0.95 %),"-450,200",-16.78,"6,400",0.24,"456,600",17.01,"497,091,800",0%
08/12/2021,37(1.09 %),"-11,400",-0.42,"16,400",0.61,"27,800",1.03,"496,641,600",0.58%
07/12/2021,36.6(1.67 %),"-1,200",-0.04,"18,500",0.67,"19,700",0.72,"496,630,200",0.58%
06/12/2021,36(-1.37 %),"9,200",0.33,"22,700",0.83,"13,500",0.49,"496,629,000",0.58%
03/12/2021,36.5(-5.56 %),"-75,600",-2.9,"15,000",0.57,"90,600",3.47,"496,638,200",0.58%
02/12/2021,38.65(0.39 %),"-366,300",-14.14,"2,100",0.08,"368,400",14.22,"496,562,600",0.59%
01/12/2021,38.5(-0.77 %),"-349,200",-13.39,"7,000",0.27,"356,200",13.66,"496,196,300",0.6%
30/11/2021,38.8(5.43 %),"-151,800",-5.86,"29,400",1.11,"181,200",6.97,"497,676,100",0.56%
29/11/2021,36.8(-0.41 %),"-10,800",-0.32,"60,300",2.13,"71,100",2.45,"497,535,100",0%
26/11/2021,36.95(-2.25 %),"-2,600",-0.08,"65,900",2.47,"68,500",2.56,"497,524,300",0%
25/11/2021,37.8(1.61 %),"34,800",1.31,"122,300",4.63,"87,500",3.32,"497,521,700",0.56%
24/11/2021,37.2(-0.80 %),"-55,400",-2.09,"31,500",1.18,"86,900",3.26,"497,556,500",0.56%
23/11/2021,37.5(5.34 %),"79,300",2.87,"143,900",5.23,"64,600",2.37,"497,501,100",0.56%
