stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN
MWG,Q22018,,,19675.0,2905.0,2059.0,845.0,663.0,,,663.0,1434.0,390.0,83.0,,,,961.0,,,14275.0,14635.0,-360.0,398.0,285.0,103.0,10.0,,,4668.0,303.0,,,,,,303.0,,3418.0,3387.0,,,,31.0,,72.0,,72.0,61.0,,61.0,,,,,814.0,90.0,137.0,,,587.0,,24343.0,,16827.0,15488.0,5815.0,31.0,341.0,133.0,1668.0,,,,697.0,6744.0,55.0,5.0,,,1340.0,,,,,,,0.0,1339.0,,,,,,,7515.0,7515.0,3232.0,3232.0,,551.0,,1.0,0.0,,0.0,,,,3727.0,2214.0,1512.0,,5.0,,,,,,24343.0
MWG,Q22019,,,27618.0,3293.0,2943.0,350.0,6133.0,,,6133.0,1310.0,486.0,145.0,,,,678.0,,,16424.0,16741.0,-317.0,458.0,338.0,82.0,37.0,,,5149.0,331.0,,,,,,331.0,,3930.0,3901.0,,,,29.0,,51.0,,51.0,59.0,,59.0,,,,,778.0,114.0,142.0,,,522.0,,32767.0,,22336.0,21216.0,8278.0,41.0,475.0,186.0,1855.0,,,17.0,1196.0,9090.0,76.0,0.0,,,1120.0,,,,,,,,1120.0,,,,,,,10431.0,10431.0,4435.0,4435.0,,551.0,,1.0,-4.0,,0.0,,,,5440.0,3320.0,2120.0,,7.0,,,,,,32767.0
MWG,Q22020,,,30910.0,2166.0,2117.0,49.0,8712.0,,,8712.0,1287.0,294.0,254.0,,,,738.0,,,18076.0,18626.0,-550.0,669.0,457.0,205.0,6.0,,,7436.0,397.0,,,,,,397.0,,6175.0,6147.0,,,,29.0,,62.0,,62.0,54.0,,54.0,,,,,747.0,88.0,199.0,,,460.0,,38346.0,,24073.0,22949.0,7640.0,77.0,921.0,369.0,2595.0,,,0.0,684.0,10590.0,72.0,0.0,,,1124.0,,,,,,,,1124.0,,,,,,,14273.0,14273.0,4532.0,4532.0,,558.0,,,-4.0,,2.0,,,,9176.0,7150.0,2027.0,,9.0,,,,,,38346.0
MWG,Q22021,,,44394.0,4618.0,3664.0,954.0,13524.0,,,13524.0,2978.0,491.0,461.0,,,580.0,1445.0,,,22415.0,22841.0,-426.0,859.0,611.0,225.0,23.0,,,9745.0,463.0,,,,,,463.0,,8244.0,8216.0,,,,28.0,,258.0,,258.0,46.0,,46.0,,,,,734.0,61.0,274.0,,,399.0,,54139.0,,35880.0,34751.0,9329.0,71.0,782.0,464.0,3241.0,,,0.0,814.0,19966.0,83.0,0.0,,,1129.0,,,,,,,,1129.0,,,,,,,18259.0,18259.0,4754.0,4754.0,,558.0,,,-1.0,,-4.0,,,,12941.0,10390.0,2551.0,,11.0,,,,,,54139.0
MWG,Q22022,,,48627.0,2898.0,2838.0,60.0,12321.0,,,12321.0,3756.0,377.0,525.0,,,882.0,1972.0,,,28752.0,28752.0,,900.0,661.0,157.0,81.0,,,10590.0,519.0,,,,,9.0,511.0,,9537.0,9460.0,,,,77.0,,129.0,,129.0,-317.0,,181.0,,,,-498.0,721.0,62.0,321.0,,,338.0,,59217.0,,36813.0,36813.0,9387.0,130.0,909.0,476.0,2907.0,,,,576.0,22345.0,83.0,0.0,,,,,,,,,,,,,,,,,,22404.0,22404.0,14639.0,14639.0,,558.0,,,-2.0,,-3.0,,,,7199.0,4624.0,2574.0,,13.0,,,,,,59217.0
MWG,Q22023,,,49611.0,3442.0,3092.0,350.0,20979.0,,,20979.0,2616.0,218.0,157.0,,,17.0,2223.0,,,21874.0,22156.0,-282.0,700.0,468.0,190.0,43.0,,,9757.0,487.0,,,,,10.0,477.0,,8443.0,8372.0,,,,71.0,,4.0,,4.0,231.0,,181.0,,,50.0,,592.0,137.0,178.0,,,276.0,,59369.0,,35405.0,29505.0,9335.0,71.0,302.0,313.0,1325.0,,,24.0,1731.0,16337.0,67.0,,,,5899.0,,,,,,,,5899.0,,,,,,,23964.0,23964.0,14634.0,14634.0,,558.0,,,-8.0,,3.0,,,,8763.0,8724.0,39.0,,13.0,,,,,,59369.0
MWG,Q22024,,,59688.0,5776.0,4565.0,1212.0,25181.0,,,25181.0,7121.0,348.0,90.0,,,4079.0,2604.0,,,21041.0,21319.0,-279.0,570.0,412.0,127.0,31.0,,,6182.0,412.0,,,,,,412.0,,4963.0,4897.0,,,,66.0,,2.0,,2.0,410.0,,239.0,,,170.0,,395.0,73.0,106.0,,,215.0,,65870.0,,39393.0,33260.0,9802.0,67.0,645.0,517.0,2285.0,,,36.0,2944.0,16897.0,67.0,,,,6133.0,,,,,,,,6132.0,,,1.0,,,,26477.0,26477.0,14622.0,14622.0,,558.0,,,-3.0,,3.0,,,,10942.0,8867.0,2075.0,,355.0,,,,,,65870.0
MWG,Q32013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,Q32014,,,2415.0,419.0,145.0,274.0,,,,,298.0,32.0,112.0,,,,154.0,,,1625.0,1674.0,-48.0,73.0,48.0,21.0,,,4.0,433.0,,,,,,,,,316.0,274.0,,,,6.0,,,,36.0,,,,,,,,92.0,17.0,11.0,,64.0,,24.0,2848.0,,1548.0,1548.0,847.0,5.0,73.0,1.0,162.0,,,,36.0,414.0,10.0,,,,,,,,,,,,,,,,,,,1295.0,1295.0,627.0,,,79.0,,1.0,0.0,,,,,,589.0,,,,,,,,,5.0,2848.0
MWG,Q32015,,,3931.0,469.0,467.0,2.0,,,,,427.0,60.0,62.0,,,,305.0,,,2911.0,2986.0,-75.0,124.0,97.0,27.0,0.0,,,883.0,105.0,,,,,,105.0,,672.0,649.0,,,,22.0,,37.0,,37.0,,,,,,,,70.0,38.0,16.0,,,15.0,,4814.0,,2662.0,2662.0,1248.0,12.0,93.0,48.0,216.0,,,,138.0,883.0,19.0,5.0,,,,,,,,,,,,,,,,,,2152.0,2152.0,1399.0,1399.0,,37.0,,1.0,-2.0,,,,,,716.0,38.0,677.0,,1.0,,,,,,4814.0
MWG,Q32016,,,8258.0,574.0,571.0,3.0,,,,,864.0,150.0,174.0,,,,539.0,,,6501.0,6611.0,-110.0,319.0,184.0,135.0,,,,1918.0,160.0,,,,,,160.0,,1558.0,1531.0,,,,27.0,,67.0,,67.0,,,,,,,,134.0,107.0,22.0,,,5.0,,10176.0,,6691.0,6691.0,2670.0,22.0,118.0,75.0,726.0,,,,250.0,2794.0,30.0,5.0,,,,,,,,,,,,,,,,,,3486.0,3486.0,1469.0,1469.0,,37.0,,1.0,-3.0,,,,,,1979.0,758.0,1222.0,,2.0,,,,,,10176.0
MWG,Q32017,,,13168.0,2932.0,1550.0,1382.0,,,,,1149.0,253.0,112.0,,,,784.0,,,8802.0,9003.0,-201.0,285.0,251.0,34.0,0.0,,,3465.0,228.0,,,,,,228.0,,3003.0,2977.0,,,,26.0,,34.0,,34.0,,,,,,,,200.0,104.0,96.0,,,,,16632.0,,11388.0,11329.0,5008.0,20.0,214.0,127.0,1481.0,,,,533.0,3901.0,41.0,5.0,,,59.0,,,,,,,,59.0,,,,,,,5244.0,5244.0,3078.0,3078.0,,37.0,,1.0,0.0,,0.0,,,,2127.0,493.0,1634.0,,2.0,,,,,,16632.0
