stock_code,time,,TÀI SẢN,A. TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II.  Đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh (*),3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi (*),8. Tài sản thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho (*),V. Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu của nhà nước,4. Giao dịch mua bán lại trái phiếu chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở các đơn vị trực thuộc,4.  Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi (*),II. Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế (*),2. Tài sản cố định thuê tài chính,3. Tài sản cố định vô hình,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,2. Đầu tư vào công ty liên kết. liên doanh,3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn (*),5. Đầu tư nắm giữ đến ngày đáo hạn,6. Đầu tư dài hạn khác,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,VII. Lợi thế thương mại (áp dụng trước năm 2015),TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,A. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp Nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,"12. Quỹ khen thưởng, phúc lợi",13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi (Nợ),11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,14. Dự phòng trợ cấp mất việc làm,B. VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ (*),6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,14. Quỹ dự phòng tài chính,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN
MSN,Q12020,,,30898.0,3711.0,1300.0,2411.0,982.0,488.0,,494.0,14856.0,1568.0,1331.0,,,1040.0,11016.0,-99.0,,9699.0,9792.0,-93.0,1650.0,301.0,1325.0,24.0,,,74178.0,1589.0,,,,,,1589.0,,41139.0,29355.0,19.0,0.0,,11784.0,18.0,3312.0,,3312.0,18039.0,,18020.0,22.0,-10.0,7.0,,10082.0,5802.0,225.0,,,4055.0,,105076.0,,53509.0,33058.0,5310.0,933.0,417.0,380.0,3648.0,,,11.0,177.0,22145.0,,37.0,,,20451.0,31.0,,,,,,181.0,17131.0,,,2525.0,583.0,,,51566.0,51566.0,11689.0,11689.0,,11084.0,,-8564.0,,,8.0,,,,28165.0,28559.0,-394.0,,9183.0,,,,,,105076.0
MSN,Q12021,,,31328.0,7118.0,1200.0,5918.0,551.0,,,551.0,8921.0,2511.0,565.0,,,1140.0,4791.0,-85.0,,12631.0,12742.0,-111.0,2107.0,362.0,1669.0,77.0,,,84939.0,1549.0,,,,,,1549.0,,48495.0,33624.0,19.0,-5.0,23.0,14848.0,13.0,2592.0,,2592.0,21292.0,,21257.0,31.0,-3.0,7.0,,10997.0,6336.0,955.0,,,3706.0,,116267.0,,90861.0,37774.0,7109.0,560.0,542.0,290.0,4018.0,,,8.0,3980.0,21226.0,5.0,36.0,,,53087.0,28.0,,,,,,183.0,42064.0,,,3649.0,7164.0,,,25405.0,25405.0,11747.0,11747.0,,11084.0,,-8564.0,,,-253.0,,,-310.0,2469.0,2182.0,286.0,,9233.0,,,,,,116267.0
MSN,Q12022,,,38346.0,12349.0,2094.0,10256.0,587.0,,,587.0,10445.0,2711.0,1163.0,,,2453.0,4149.0,-33.0,2.0,13151.0,13256.0,-105.0,1814.0,407.0,1332.0,75.0,,,85938.0,1937.0,,,,,81.0,1856.0,,42012.0,30729.0,1165.0,-380.0,193.0,11090.0,785.0,2473.0,,2473.0,25344.0,,25344.0,,,,,13386.0,6647.0,596.0,,,6143.0,,124284.0,,87546.0,38735.0,6938.0,134.0,550.0,354.0,4045.0,,,6.0,7475.0,19183.0,16.0,32.0,,,48811.0,25.0,,,,,,42.0,39253.0,,,3242.0,6249.0,,,36738.0,36738.0,11805.0,11805.0,,11084.0,,-8388.0,,,-349.0,,,-147.0,13482.0,18796.0,-5314.0,,9251.0,,,,,,124284.0
MSN,Q12023,,,51583.0,16204.0,10281.0,5922.0,4790.0,3316.0,,1474.0,15002.0,2674.0,1304.0,,,,11068.0,-46.0,2.0,13657.0,13795.0,-138.0,1930.0,477.0,1294.0,160.0,,,94200.0,2116.0,,,,,81.0,2035.0,,43084.0,30324.0,1155.0,-437.0,336.0,12424.0,718.0,3401.0,,3401.0,32318.0,,29447.0,2871.0,,,,12563.0,7348.0,327.0,,,4888.0,,145784.0,,108678.0,61125.0,6358.0,796.0,605.0,235.0,4300.0,,,22.0,11789.0,36980.0,8.0,31.0,,,47552.0,22.0,,,,,,697.0,38691.0,,,3499.0,4642.0,,,37106.0,37106.0,14237.0,14237.0,,8723.0,,-8388.0,,,-351.0,,,576.0,11597.0,11382.0,215.0,,10712.0,,,,,,145784.0
MSN,Q12024,,,42629.0,8493.0,2003.0,6489.0,5329.0,3219.0,,2110.0,14305.0,2497.0,708.0,,,1591.0,9539.0,-34.0,4.0,12766.0,13103.0,-337.0,1736.0,386.0,1208.0,142.0,,,103893.0,11263.0,,,,,,11263.0,,43008.0,30764.0,1217.0,-524.0,305.0,11940.0,693.0,2328.0,,2328.0,34442.0,,31517.0,2939.0,-14.0,,,12159.0,7243.0,715.0,,,4201.0,,146522.0,,107689.0,49428.0,5988.0,847.0,667.0,360.0,4689.0,,,46.0,8588.0,28205.0,7.0,31.0,,,58261.0,19.0,,173.0,,,,7875.0,41448.0,,,3363.0,5383.0,,,38833.0,38833.0,14308.0,14308.0,,8723.0,,-8388.0,,,-212.0,,,384.0,11913.0,11798.0,115.0,,12105.0,,,,,,146522.0
MSN,Q22010,,,2586.0,980.0,501.0,479.0,815.0,815.0,0.0,,371.0,53.0,81.0,58.0,0.0,,181.0,-2.0,,316.0,336.0,-20.0,104.0,6.0,89.0,7.0,0.0,2.0,4728.0,0.0,0.0,,0.0,0.0,,0.0,0.0,734.0,586.0,0.0,0.0,13.0,72.0,0.0,,,64.0,3942.0,0.0,3942.0,,0.0,,0.0,48.0,9.0,30.0,,9.0,,4.0,7314.0,,1803.0,1041.0,243.0,6.0,39.0,12.0,252.0,1.0,0.0,,2.0,486.0,0.0,0.0,,0.0,761.0,0.0,,,,0.0,0.0,0.0,760.0,,,0.0,0.0,0.0,1.0,5096.0,5096.0,4854.0,,,1422.0,,-1947.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,,,0.0,,0.0,0.0,0.0,0.0,415.0,7314.0
MSN,Q22011,,,9052.0,7278.0,667.0,6611.0,700.0,700.0,0.0,,567.0,81.0,199.0,0.0,0.0,,287.0,-1.0,,434.0,477.0,-43.0,74.0,15.0,50.0,0.0,0.0,9.0,17778.0,0.0,0.0,,0.0,0.0,,0.0,0.0,8642.0,568.0,0.0,0.0,0.0,73.0,0.0,,,8001.0,8972.0,0.0,8972.0,,0.0,,0.0,161.0,91.0,47.0,,23.0,,3.0,26830.0,,7656.0,1612.0,299.0,27.0,154.0,25.0,511.0,0.0,0.0,,3.0,602.0,0.0,-8.0,,0.0,6044.0,0.0,,,,0.0,0.0,0.0,5289.0,,,751.0,0.0,0.0,4.0,14625.0,14625.0,5153.0,,,2166.0,,10463.0,0.0,0.0,-19.0,0.0,0.0,-6500.0,3362.0,,,0.0,,0.0,0.0,0.0,0.0,4549.0,26830.0
MSN,Q22012,,,12495.0,8916.0,687.0,8229.0,1473.0,1473.0,,,1030.0,148.0,614.0,,,,270.0,-1.0,,880.0,892.0,-13.0,196.0,55.0,132.0,,0.0,8.0,23681.0,,,,,,,,,13419.0,1154.0,,,,935.0,,,,11331.0,9773.0,,9407.0,,,,366.0,224.0,137.0,52.0,,34.0,,265.0,36176.0,,15554.0,2374.0,619.0,16.0,273.0,32.0,924.0,,,,36.0,472.0,,,,0.0,13180.0,,,,,,,222.0,11919.0,,,1031.0,,,8.0,14650.0,14650.0,6873.0,,,7999.0,,1340.0,,,-14.0,,,-7121.0,5573.0,,,,,,,,,5972.0,36176.0
MSN,Q22013,,,8581.0,6342.0,301.0,6042.0,,,,,1010.0,180.0,548.0,,,,283.0,-1.0,,1016.0,1026.0,-10.0,212.0,32.0,104.0,,,76.0,32818.0,264.0,,,,,,264.0,,20528.0,1735.0,,,,828.0,,,,17965.0,11247.0,,10878.0,,,,369.0,188.0,106.0,47.0,,35.0,,590.0,41398.0,,18770.0,5879.0,949.0,10.0,336.0,45.0,1156.0,,,,79.0,3304.0,,,,,12890.0,,,,,,,858.0,11176.0,,,855.0,,,1.0,15233.0,15233.0,7051.0,,,7999.0,,1722.0,,,-43.0,,,-7542.0,6045.0,,,,,,,,,7395.0,41398.0
MSN,Q22014,,,9012.0,5161.0,282.0,4878.0,283.0,283.0,,,1523.0,721.0,344.0,,,,460.0,-2.0,,1632.0,1646.0,-14.0,413.0,56.0,204.0,72.0,,81.0,36459.0,712.0,,,,,,712.0,,21493.0,17572.0,,,52.0,1470.0,,,,2399.0,10772.0,,10719.0,,,,53.0,3071.0,2830.0,197.0,,44.0,,411.0,45471.0,,23691.0,6069.0,1205.0,21.0,374.0,48.0,2024.0,,,,147.0,2250.0,,,,,17622.0,,,,,,,209.0,16199.0,,,1212.0,,,3.0,14264.0,14264.0,7349.0,,,9602.0,,98.0,,,3.0,,,-8799.0,6012.0,,,,,,,,,7516.0,45471.0
