Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
10/01/2025,70,,-1.5(-2.10 %),"446,700",31.43,0,0,71.5,72.2,66.5
09/01/2025,71.5,,-1.1(-1.52 %),"292,500",21.15,0,0,72.8,73.3,71.5
08/01/2025,72.6,,0(0.00 %),"362,400",26.51,0,0,73.1,73.7,72.5
07/01/2025,72.6,,2.3(3.27 %),"1,282,500",92.58,"1,000,000",65.4,70.3,74,69.8
06/01/2025,70.3,,-0.2(-0.28 %),"168,500",11.8,0,0,69.7,70.5,69
03/01/2025,70.5,,-0.3(-0.42 %),"184,100",12.92,0,0,70.1,70.5,69.8
02/01/2025,70.8,,-0.1(-0.14 %),"202,200",14.23,0,0,70,70.8,69.8
31/12/2024,70.9,,1.1(1.58 %),"435,100",30.65,0,0,69.8,70.9,68.7
30/12/2024,69.8,,0(0.00 %),"233,500",16.23,0,0,68.8,70,68.2
27/12/2024,69.8,,0.1(0.14 %),"261,500",18.18,"1,000,000",65,69.7,69.8,68.8
26/12/2024,69.7,,0.4(0.58 %),"156,700",10.88,0,0,69.3,70,68.8
25/12/2024,69.3,,1.4(2.06 %),"686,500",47.66,0,0,67.9,70.4,67.7
24/12/2024,67.9,,0(0.00 %),"142,500",9.65,0,0,68,68,67.3
23/12/2024,67.9,,0.2(0.30 %),"176,400",11.97,0,0,68,68,67.5
20/12/2024,67.7,,1.2(1.80 %),"163,900",11,0,0,66.5,67.7,66.3
19/12/2024,66.5,,-1.3(-1.92 %),"142,600",9.53,0,0,67,67.5,66.5
18/12/2024,67.8,,0(0.00 %),"92,600",6.26,0,0,67.8,67.8,67.2
17/12/2024,67.8,,-0.2(-0.29 %),"124,200",8.41,0,0,68,68,67.4
16/12/2024,68,,0.3(0.44 %),"248,900",16.81,0,0,67.7,68,66.6
13/12/2024,67.7,,0.2(0.30 %),"145,300",9.8,0,0,67.5,67.7,66.7
