LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,,759,,791,200
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,,116,,35,18
Các khoản dự phòng,,12,,,24
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,2,,20,-16
"Lãi, lỗ từ hoạt động đầu tư",,-24,,-24,-72
Chi phí lãi vay,,40,,14,4
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,906,,837,158
"Tăng, giảm các khoản phải thu",,-470,,-379,602
"Tăng, giảm hàng tồn kho",,-729,,-257,-87
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",,177,,-209,-174
"Tăng, giảm chi phí trả trước",,3,,-1,
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,,-38,,-12,-3
Thuế thu nhập doanh nghiệp đã nộp,,-61,,-42,-27
Tiền thu khác từ hoạt động kinh doanh,,36,,36,28
Tiền chi khác cho hoạt động kinh doanh,,-128,,-31,-16
Lưu chuyển tiền thuần từ hoạt động kinh doanh,,-303,,-59,480
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,-179,,-17,-168
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,71,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,-289,,-734,-101
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,23,,615,342
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,-935,,-689,-84
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,14,,18,66
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,"-1,295",,-807,55
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,"2,410",,529,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,,"2,262",,698,279
4. Tiền trả nợ gốc vay,,"-2,518",,-410,-440
5. Tiền trả nợ gốc thuê tài chính,,-16,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-219,,,-197
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,"1,920",,817,-358
Lưu chuyển tiền thuần trong kỳ,,321,,-49,177
Tiền và tương đương tiền đầu kỳ,,,,,119
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,1
Tiền và tương đương tiền cuối kỳ,,399,,119,297
