Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
12/05/2021,91.8,75.69,0.6(0.66 %),"3,199,300",290.34,0,0,90.1,92.2,90
11/05/2021,91.2,75.2,-1.8(-1.94 %),"4,197,000",389.8,"85,000",7.98,93.5,94.5,91.2
10/05/2021,93,76.68,6(6.90 %),"8,176,900",746.09,"250,000",22.81,87,93,86.1
07/05/2021,87,71.73,-2.6(-2.90 %),"6,744,500",590.78,"598,500",52.61,89,89.2,86.8
06/05/2021,89.6,73.88,-2.4(-2.61 %),"7,448,600",674.16,"396,300",36.08,92,92,89.6
05/05/2021,92,75.86,0.4(0.44 %),"3,792,300",349.77,"770,600",71.29,91.6,93,91.6
04/05/2021,91.6,75.53,-1.9(-2.03 %),"4,112,800",377.99,"70,056",6.49,93,93,91.5
29/04/2021,93.5,77.09,-0.2(-0.21 %),"6,499,700",602.33,"300,000",27.81,93.7,94.2,91.5
28/04/2021,93.7,77.26,-2(-2.09 %),"5,027,100",475.38,"1,072,800",101.42,95.7,95.8,93.5
27/04/2021,95.7,78.91,-0.3(-0.31 %),"3,149,400",300.72,"2,470,900",235.92,96,96.5,95
26/04/2021,96,79.16,-3.5(-3.52 %),"5,045,600",489.64,"1,231,714",119.18,97,99,96
23/04/2021,99.5,82.04,1.5(1.53 %),"3,556,800",348.81,"462,100",45.41,98,99.9,96.8
22/04/2021,98,80.8,-1.3(-1.31 %),"3,166,300",311.35,"401,000",39.5,99.3,99.5,97
20/04/2021,99.3,81.88,3.2(3.33 %),"6,987,200",689.8,"20,038",1.96,97,101,96.9
19/04/2021,96.1,79.24,-0.8(-0.83 %),"5,722,900",548.79,"789,960",75.81,96.9,97.5,95.1
16/04/2021,96.9,79.9,-2.2(-2.22 %),"4,876,400",475.59,"110,000",10.95,98.6,98.7,96.4
15/04/2021,99.1,81.71,-0.2(-0.20 %),"3,549,400",353.26,"550,100",54.72,99.6,100.5,98.9
14/04/2021,99.3,81.88,-0.7(-0.70 %),"3,498,500",347.22,"518,900",51.5,100,100,98.9
13/04/2021,100,82.45,0(0.00 %),"3,799,100",382.27,"747,200",75.12,100.8,101.7,99.7
12/04/2021,100,82.45,0.2(0.20 %),"3,632,400",362.85,"250,000",24.95,100,100.3,99.5
