VRE,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,005","2,084","1,943","2,173","3,333"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"2,005","2,084","1,943","2,173","3,333"
4. Giá vốn hàng bán,966,"1,032",755,983,"1,632"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,039","1,052","1,188","1,189","1,700"
6.Doanh thu hoạt động tài chính,130,201,224,278,301
7. Chi phí tài chính,89,92,100,80,76
Trong đó :Chi phí lãi vay,89,92,100,80,76
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,27,57,29,44,185
10. Chi phí quản lý doanh nghiệp,69,110,79,74,107
11. Lợi nhuận thuần từ hoạt động kinh doanh,984,994,"1,204","1,270","1,634"
12. Thu nhập khác,18,31,61,24,35
13. Chi phí khác,13,3,16,26,13
14. Lợi nhuận khác,6,28,45,-1,22
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,990,"1,022","1,249","1,268","1,656"
16. Chi phí thuế TNDN hiện hành,231,267,259,252,330
17. Chi phí thuế TNDN hoãn lại,-34,-36,-34,16,9
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,794,791,"1,024","1,001","1,317"
Lợi ích của cổ đông thiểu số,0,0,0,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,793,791,"1,024","1,001","1,317"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
