VRE,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,969","2,284","1,983","2,208","2,784"
2. Các khoản giảm trừ doanh thu,,,,,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"2,969","2,284","1,983","2,208","2,784"
4. Giá vốn hàng bán,"1,836","1,312","1,024","1,130","1,388"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,133",972,959,"1,078","1,396"
6.Doanh thu hoạt động tài chính,90,80,78,60,47
7. Chi phí tài chính,74,73,73,76,80
Trong đó :Chi phí lãi vay,72,72,73,74,79
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,0
9. Chi phí bán hàng,124,92,48,68,162
10. Chi phí quản lý doanh nghiệp,133,116,127,103,103
11. Lợi nhuận thuần từ hoạt động kinh doanh,893,771,788,890,"1,098"
12. Thu nhập khác,16,9,12,16,33
13. Chi phí khác,5,2,13,5,20
14. Lợi nhuận khác,11,7,-1,11,13
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,0
15. Tổng lợi nhuận kế toán trước thuế,903,778,788,901,"1,111"
16. Chi phí thuế TNDN hiện hành,193,167,148,184,232
17. Chi phí thuế TNDN hoãn lại,13,0,0,1,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,697,611,640,717,880
Lợi ích của cổ đông thiểu số,7,-1,1,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,690,612,639,717,880
19. Lãi cơ bản trên cổ phiếu (*),,,,,0
20. Lãi suy giảm trên cổ phiếu (*),,,,,0
