VRE,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"2,343","2,255","2,479","2,078","2,128"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"2,343","2,255","2,479","2,078","2,128"
4. Giá vốn hàng bán,"1,075",999,"1,269",988,927
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,268","1,255","1,209","1,089","1,201"
6.Doanh thu hoạt động tài chính,343,435,420,383,547
7. Chi phí tài chính,74,140,179,244,275
Trong đó :Chi phí lãi vay,74,140,138,140,147
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,84,64,56,77,144
10. Chi phí quản lý doanh nghiệp,179,143,160,170,169
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,274","1,343","1,235",981,"1,161"
12. Thu nhập khác,93,58,64,140,203
13. Chi phí khác,14,33,22,2,-6
14. Lợi nhuận khác,79,25,42,138,209
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,353","1,367","1,277","1,119","1,370"
16. Chi phí thuế TNDN hiện hành,270,300,263,239,279
17. Chi phí thuế TNDN hoãn lại,15,-15,-7,-27,6
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,068","1,083","1,021",906,"1,085"
Lợi ích của cổ đông thiểu số,0,0,,0,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,067","1,083","1,021",906,"1,085"
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
