stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
GAS,Q12022,,,4381.0,,762.0,175.0,-25.0,-218.0,82.0,,,,,5157.0,-3611.0,1104.0,1762.0,-596.0,,-108.0,-492.0,104.0,-126.0,3193.0,,-441.0,-978.0,-7848.0,8124.0,,,144.0,,,,,-999.0,,,,619.0,-2.0,,,,,616.0,2810.0,5833.0,5.0,8648.0
GAS,Q12023,,,4267.0,,791.0,-12.0,-25.0,-481.0,62.0,,,,,4601.0,-1280.0,1959.0,-1860.0,303.0,5.0,-15.0,-760.0,-4.0,-124.0,2824.0,,-532.0,,-10402.0,9896.0,,,370.0,,,,,-668.0,,,,15.0,-6.0,,,,,10.0,2166.0,10550.0,-2.0,12714.0
GAS,Q12024,,,3171.0,,703.0,2.0,14.0,-436.0,108.0,,,,,3563.0,-3619.0,1412.0,886.0,-112.0,,-20.0,-337.0,65.0,-199.0,1637.0,,-46.0,,-9694.0,8406.0,,,299.0,,,,,-1034.0,,,,25.0,-214.0,,-13.0,,,-202.0,401.0,5669.0,5.0,6075.0
GAS,Q22012,,,3129.0,,826.0,,,-616.0,65.0,,,,,3404.0,2261.0,315.0,-2526.0,115.0,,-50.0,-476.0,-9589.0,10394.0,3848.0,,-952.0,,10474.0,-10124.0,140.0,-9.0,367.0,,,,,-103.0,,-332.0,53.0,496.0,-1198.0,236.0,-2154.0,,,-2899.0,845.0,10805.0,,11910.0
GAS,Q22013,,,3700.0,,862.0,18.0,47.0,-298.0,120.0,,,,,4449.0,748.0,-802.0,965.0,330.0,,-158.0,-1014.0,-33.0,-254.0,4232.0,,-447.0,,387.0,-349.0,,,295.0,,,,,-113.0,,,,533.0,-951.0,40.0,-1914.0,,,-2293.0,1826.0,15956.0,-1.0,17781.0
GAS,Q22014,,,4094.0,,833.0,-14.0,29.0,-306.0,97.0,,,,,4733.0,272.0,-87.0,-2015.0,331.0,,-125.0,-789.0,-403.0,340.0,2256.0,,-271.0,,-11.0,68.0,89.0,-5.0,244.0,,,,,113.0,,-89.0,,1930.0,-2150.0,-11.0,-3147.0,,,-3468.0,-1099.0,21418.0,2.0,20321.0
GAS,Q22015,,,3374.0,,804.0,-186.0,30.0,-185.0,38.0,,,,,3874.0,216.0,-503.0,782.0,-23.0,,-63.0,-708.0,225.0,-1825.0,1974.0,,-977.0,1.0,-2687.0,267.0,,62.0,261.0,,,,,-3073.0,,,,643.0,-2306.0,-60.0,-1302.0,,,-3025.0,-4124.0,24528.0,1.0,20405.0
GAS,Q22016,,,1964.0,,1013.0,-34.0,-1.0,54.0,107.0,,,,,3104.0,-2195.0,-37.0,1500.0,84.0,,-65.0,-600.0,-150.0,-128.0,1512.0,,-910.0,,-803.0,794.0,487.0,-219.0,239.0,,,,,-412.0,,,,836.0,-159.0,-10.0,-2345.0,,,-1678.0,-578.0,17979.0,-6.0,17114.0
GAS,Q22017,,,2380.0,,661.0,150.0,-5.0,-271.0,90.0,,,,,3005.0,2097.0,78.0,-120.0,-236.0,,-79.0,-542.0,-6.0,-252.0,3945.0,,-235.0,,-2404.0,1199.0,,,237.0,,,,,-1204.0,,,,5832.0,-5560.0,-5.0,-2656.0,,,-2388.0,353.0,14217.0,3.0,14515.0
GAS,Q22018,,,3908.0,,845.0,-27.0,7.0,-265.0,110.0,,,,-7.0,4570.0,-1082.0,-147.0,1545.0,-81.0,,-96.0,-626.0,19.0,-126.0,3977.0,,-224.0,42.0,-6245.0,521.0,,25.0,228.0,,,,,-5653.0,,,,574.0,-1127.0,-4.0,-2700.0,,,-3258.0,-4934.0,14666.0,1.0,9718.0
