stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
BCM,Q22019,,,724.0,,50.0,-1.0,,-356.0,178.0,,,,21.0,616.0,204.0,-1078.0,257.0,42.0,5.0,-281.0,-101.0,-28.0,360.0,-3.0,,-25.0,5.0,87.0,-88.0,,527.0,389.0,,,,,895.0,,-32.0,,2333.0,-3319.0,,,,,-1019.0,-126.0,2687.0,,2561.0
BCM,Q22020,,,369.0,,58.0,28.0,,-342.0,143.0,,,,,257.0,211.0,-761.0,426.0,4.0,,-43.0,-5.0,-1.0,-12.0,76.0,,-46.0,4.0,95.0,132.0,,2.0,-32.0,,,,,154.0,,,,1346.0,-1398.0,,-59.0,,,-111.0,119.0,320.0,,439.0
BCM,Q22021,,,568.0,,46.0,-4.0,,-629.0,159.0,,,,438.0,579.0,-2185.0,-1298.0,1846.0,4.0,,81.0,-28.0,-23.0,-4.0,-1030.0,,44.0,6.0,-17.0,12.0,,,55.0,,,,,101.0,,-10.0,-16.0,3875.0,-1926.0,,-6.0,,,1917.0,989.0,2349.0,,3338.0
BCM,Q22022,,,1121.0,,48.0,-9.0,,-731.0,231.0,,,,-14.0,646.0,-615.0,698.0,-489.0,17.0,,-454.0,-63.0,-1.0,-30.0,-290.0,,-106.0,69.0,-36.0,-6.0,-684.0,,83.0,,,,,-680.0,,,,1287.0,-1492.0,,1.0,,,-204.0,-1173.0,4007.0,,2834.0
BCM,Q22023,,,21.0,,52.0,,,-115.0,269.0,,,,-20.0,206.0,108.0,-81.0,349.0,58.0,,-446.0,-9.0,,-54.0,131.0,,-112.0,1.0,-377.0,96.0,,,563.0,,,,,171.0,,,,846.0,-1378.0,,,,,-532.0,-230.0,436.0,,207.0
BCM,Q22024,,,244.0,,66.0,60.0,,-623.0,433.0,,,,-4.0,177.0,-442.0,44.0,335.0,99.0,,-546.0,-28.0,,-14.0,-374.0,,-341.0,1.0,-64.0,25.0,,,149.0,,,,,-229.0,,,,1460.0,-1240.0,,,,,220.0,-384.0,2480.0,,2096.0
BCM,Q32018,,,444.0,,46.0,75.0,,490.0,165.0,,,,-56.0,1164.0,291.0,452.0,665.0,-13.0,,-495.0,-95.0,4.0,-1322.0,653.0,,-613.0,-86.0,-251.0,78.0,,3.0,173.0,,,,,-696.0,,4.0,,1322.0,-1091.0,,-202.0,,,34.0,-9.0,2806.0,,2776.0
BCM,Q32019,,,562.0,,64.0,,,-44.0,167.0,,,,34.0,784.0,238.0,-83.0,-51.0,-7.0,-1.0,-758.0,-101.0,4.0,-32.0,-7.0,,-35.0,-2.0,-522.0,413.0,-210.0,360.0,-117.0,,,,,-113.0,,193.0,,861.0,-1870.0,,-559.0,,,-1374.0,-1494.0,2561.0,,1067.0
BCM,Q32020,,,690.0,,60.0,-5.0,,114.0,110.0,,,,,971.0,63.0,936.0,-950.0,24.0,,-688.0,-75.0,3.0,-24.0,260.0,,-65.0,-4.0,-105.0,169.0,-13.0,,45.0,,,,,29.0,,,,2940.0,-1667.0,,28.0,,,1301.0,1589.0,439.0,,2029.0
BCM,Q32021,,,52.0,,50.0,,,286.0,162.0,,,,-438.0,113.0,1622.0,227.0,-1849.0,8.0,,-737.0,-69.0,2.0,-2.0,-686.0,,-1.0,,-25.0,6.0,-130.0,,180.0,,,,,29.0,,60.0,-16.0,2481.0,-1923.0,,-470.0,,,133.0,-524.0,3338.0,,2814.0
BCM,Q32022,,,311.0,,47.0,,,481.0,140.0,,,,-14.0,964.0,-815.0,-186.0,-136.0,-17.0,,-404.0,-6.0,,-20.0,-621.0,,31.0,5.0,-82.0,63.0,,,47.0,,,,,65.0,,,,940.0,-1635.0,,-3.0,,,-698.0,-1253.0,2834.0,,1580.0
BCM,Q32023,,,269.0,,33.0,-91.0,,-198.0,149.0,,,,20.0,181.0,74.0,-295.0,-527.0,-27.0,,-458.0,-6.0,,-50.0,-1107.0,,56.0,,130.0,140.0,-99.0,,47.0,,,,,274.0,,,,2279.0,-1055.0,,-4.0,,,1220.0,387.0,207.0,,593.0
BCM,Q32024,,,379.0,,70.0,-62.0,,126.0,342.0,,,,2.0,856.0,-723.0,-472.0,-86.0,17.0,,-563.0,-36.0,,-52.0,-1060.0,,113.0,4.0,14.0,-25.0,-19.0,,129.0,,,,,216.0,,,,2078.0,-2636.0,,-32.0,,,-589.0,-1433.0,2096.0,,663.0
BCM,Q42018,,,1105.0,,70.0,-75.0,,-1168.0,171.0,,,,421.0,524.0,915.0,5855.0,-7671.0,55.0,,58.0,-30.0,-4.0,1320.0,1023.0,,550.0,26.0,206.0,-51.0,-160.0,-3.0,1447.0,,,,,2015.0,,-4.0,,1504.0,-4959.0,,202.0,,,-3257.0,-219.0,2776.0,,2578.0
BCM,Q42019,,,994.0,,58.0,18.0,,-380.0,116.0,,,,200.0,1006.0,55.0,-68.0,1615.0,1.0,1.0,363.0,-38.0,-4.0,27.0,2957.0,,-71.0,5.0,570.0,-305.0,-536.0,2.0,-178.0,,,,,-511.0,,31.0,,3182.0,-6258.0,,-50.0,,,-3096.0,-650.0,1067.0,,417.0
BCM,Q42020,,,1063.0,,61.0,,,-925.0,197.0,,,,77.0,474.0,-159.0,-1710.0,3218.0,1.0,,439.0,-104.0,-3.0,-8.0,2148.0,,-193.0,4.0,105.0,-80.0,-1129.0,,11.0,,,,,-1281.0,,,,4074.0,-4814.0,,-380.0,,,-1120.0,-253.0,2029.0,,1776.0
BCM,Q42021,,,615.0,,44.0,5.0,,-459.0,294.0,,,,-181.0,317.0,-933.0,3807.0,-918.0,9.0,,-514.0,-165.0,8.0,-8.0,1601.0,,-14.0,3.0,-190.0,98.0,-845.0,,-183.0,,,,,-1132.0,,-60.0,16.0,2373.0,-2275.0,,-353.0,,,-299.0,171.0,2814.0,,2985.0
BCM,Q42022,,,-6.0,,51.0,,,-1036.0,256.0,,,,13.0,-722.0,516.0,1476.0,-1008.0,17.0,,-420.0,-112.0,,-15.0,-268.0,,-122.0,29.0,-83.0,-62.0,,,39.0,,,,,-198.0,,,,2654.0,-1975.0,,-722.0,,,-43.0,-510.0,1580.0,,1071.0
BCM,Q42023,,,2329.0,,131.0,102.0,,-554.0,297.0,,,,-44.0,2261.0,-2094.0,-309.0,-146.0,35.0,,-624.0,-16.0,,-45.0,-937.0,,-31.0,1.0,635.0,-307.0,-760.0,,482.0,,,,,20.0,,,,5526.0,-3045.0,,-824.0,,,1656.0,739.0,593.0,,1332.0
BCM,Q42024,,,1701.0,,60.0,13.0,,-614.0,355.0,,,,,1515.0,-1353.0,-794.0,975.0,-24.0,,-442.0,-28.0,,-69.0,-219.0,,-11.0,,-36.0,21.0,-259.0,,171.0,,,,,-114.0,,,,8898.0,-6021.0,,-997.0,,,1880.0,1547.0,663.0,,2210.0
