stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
VNM,Q22010,,,1086.0,,65.0,5.0,-8.0,-78.0,1.0,,,,,1070.0,-69.0,-591.0,708.0,-22.0,,-1.0,-92.0,7.0,-36.0,974.0,,-189.0,2.0,-513.0,,-9.0,-47.0,60.0,,,,,-696.0,,,,323.0,-6.0,,-353.0,,,-37.0,241.0,221.0,,462.0
VNM,Q22011,,,1308.0,,103.0,22.0,-41.0,-92.0,6.0,,,,,1306.0,-517.0,-905.0,121.0,-59.0,,-4.0,-207.0,,-42.0,-307.0,,-381.0,3.0,,-1020.0,,,115.0,,,,205.0,-1079.0,,1420.0,,521.0,-585.0,,,,,1355.0,-30.0,223.0,,193.0
VNM,Q22012,,,1830.0,7.0,129.0,-14.0,-15.0,-116.0,3.0,,,,,1825.0,-198.0,-434.0,534.0,-51.0,,-2.0,-275.0,3.0,-15.0,1387.0,,-1091.0,3.0,,18.0,-18.0,-90.0,160.0,,,110.0,,-908.0,,,-1.0,-209.0,,,-1112.0,,,-1321.0,-843.0,2983.0,3.0,2144.0
VNM,Q22013,,,2247.0,,182.0,8.0,7.0,-6.0,,-1.0,-113.0,,,2323.0,-124.0,-130.0,-36.0,-18.0,,,-314.0,2.0,-135.0,1567.0,,-251.0,9.0,-1073.0,29.0,,272.0,122.0,,,,,-891.0,,,,,,,-1500.0,,,-1500.0,-824.0,1633.0,3.0,812.0
VNM,Q22014,,,1970.0,,257.0,11.0,-2.0,-16.0,12.0,5.0,-127.0,,,2110.0,216.0,-491.0,297.0,-4.0,,-12.0,-320.0,1.0,-6.0,1790.0,,-121.0,24.0,-100.0,-1797.0,-1.0,2.0,273.0,1600.0,,,,-119.0,,,,241.0,-220.0,,-1667.0,,,-1646.0,25.0,1193.0,2.0,1220.0
VNM,Q22015,,,2622.0,,271.0,-7.0,2.0,-20.0,7.0,3.0,-152.0,,,2727.0,-21.0,64.0,-7.0,-19.0,1.0,-6.0,-345.0,,-94.0,2300.0,,-369.0,11.0,629.0,2.0,,2.0,87.0,,,,,361.0,,32.0,,1306.0,-1366.0,,-2000.0,,,-2028.0,633.0,1228.0,-6.0,1854.0
VNM,Q22016,,,3362.0,,296.0,11.0,-3.0,17.0,9.0,13.0,-179.0,,-29.0,3497.0,-9.0,-379.0,271.0,19.0,,-6.0,-420.0,,-21.0,2953.0,,-124.0,8.0,-1.0,3.0,,,191.0,1322.0,,,,1398.0,,,-68.0,195.0,-240.0,,-2400.0,,,-2513.0,1838.0,1228.0,-6.0,3060.0
VNM,Q22017,,,3444.0,,314.0,3.0,3.0,22.0,4.0,-7.0,-195.0,5.0,-36.0,3557.0,-562.0,-291.0,865.0,-20.0,,-4.0,-434.0,,-107.0,3003.0,,-609.0,44.0,-1298.0,301.0,,,117.0,-134.0,,,,-1578.0,,,-220.0,726.0,-792.0,,-2903.0,,133.0,-3056.0,-1631.0,2217.0,5.0,591.0
VNM,Q22018,,,3161.0,,395.0,-5.0,1.0,-317.0,17.0,10.0,185.0,-14.0,,3434.0,51.0,-556.0,265.0,-6.0,,-16.0,-394.0,,-149.0,2628.0,,-1098.0,11.0,1352.0,2.0,-12.0,,175.0,-300.0,,,,129.0,,,-2.0,372.0,-167.0,,-2177.0,,,-1974.0,783.0,563.0,-3.0,1343.0
VNM,Q22019,,,3550.0,,479.0,2.0,,119.0,25.0,24.0,-336.0,34.0,10.0,3908.0,165.0,-348.0,131.0,-25.0,,-69.0,-294.0,,-146.0,3321.0,,-552.0,22.0,361.0,76.0,-1400.0,7.0,128.0,,,,,-1359.0,,128.0,-128.0,4706.0,-4997.0,1408.0,-2612.0,,,-1496.0,465.0,1209.0,2.0,1676.0
