stock_code,time,,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,Khấu hao TSCĐ và BĐSĐT,Các khoản dự phòng,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ từ hoạt động đầu tư",Chi phí lãi vay,"Lãi, lỗ từ thanh lý TSCĐ",Thu nhập lãi vay và cổ tức,Phân bổ lợi thế thương mại,Điều chỉnh cho các khoản khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"Tăng, giảm các khoản phải thu","Tăng, giảm hàng tồn kho","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Tăng, giảm chi phí trả trước","Tăng, giảm chứng khoán kinh doanh",Tiền lãi vay đã trả,Thuế thu nhập doanh nghiệp đã nộp,Tiền thu khác từ hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5. Tiền chi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,10. Tiền thu khác từ hoạt động đầu tư,11. Tiền chi khác cho hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3. Tiền thu từ đi vay,4. Tiền trả nợ gốc vay,5. Tiền trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu khác từ hoạt động tài chính,8. Tiền chi khác cho hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
PLX,Q32012,,,1030.0,,1105.0,105.0,21.0,-435.0,732.0,,,,,2558.0,-1161.0,-707.0,2734.0,154.0,,-735.0,-166.0,14.0,-58.0,2633.0,,-1348.0,60.0,-447.0,117.0,-618.0,349.0,377.0,,,,,-1510.0,,,,54006.0,-56921.0,,,,,-2915.0,-1791.0,,-1.0,6783.0
PLX,Q32013,,,682.0,,404.0,19.0,-242.0,-196.0,129.0,,,,,796.0,1066.0,-1924.0,-956.0,2.0,,-217.0,-65.0,74.0,19.0,-1205.0,,-369.0,133.0,-1274.0,1127.0,,-11.0,75.0,,,,,-318.0,,,,24692.0,-23118.0,,,,,1575.0,52.0,8133.0,1.0,8185.0
PLX,Q32014,,,563.0,,415.0,145.0,-173.0,-322.0,171.0,,,,,800.0,1448.0,-3337.0,2600.0,43.0,,-162.0,-134.0,-232.0,167.0,1192.0,,-487.0,4.0,-754.0,781.0,,7.0,173.0,,,,,-276.0,,,,19982.0,-22409.0,,,,,-2427.0,-1511.0,8015.0,-5.0,6499.0
PLX,Q32015,,,748.0,,459.0,-88.0,85.0,-217.0,124.0,,,,,1112.0,-1721.0,1592.0,-1653.0,40.0,,-128.0,-140.0,158.0,-155.0,-896.0,,-266.0,28.0,-645.0,859.0,-2.0,5.0,265.0,,,,,244.0,,,,17943.0,-17193.0,,-11.0,,,739.0,87.0,11366.0,2.0,11456.0
PLX,Q32016,,,1267.0,,504.0,-124.0,-12.0,-148.0,140.0,,,,293.0,1920.0,1570.0,635.0,-2215.0,-67.0,3.0,-135.0,-176.0,132.0,-370.0,1297.0,,-790.0,26.0,-722.0,624.0,-2.0,-183.0,238.0,,,,,-809.0,,,-497.0,6064.0,-7210.0,,-93.0,,,-1736.0,-1248.0,11251.0,-1.0,10002.0
PLX,Q32017,,,1106.0,,481.0,34.0,,-133.0,125.0,,-719.0,,1291.0,2185.0,-197.0,1387.0,2597.0,-6.0,-11.0,-117.0,-171.0,696.0,-302.0,6062.0,,-420.0,8.0,-1644.0,889.0,-108.0,11.0,577.0,,,,,-688.0,,-1010.0,,17703.0,-17702.0,,-3616.0,,,-4625.0,749.0,11890.0,2.0,12642.0
PLX,Q32018,,,1145.0,,490.0,114.0,-34.0,-284.0,229.0,,,,-486.0,1175.0,949.0,2773.0,-3084.0,-70.0,4.0,-196.0,-188.0,4.0,-145.0,1221.0,,-660.0,-24.0,-3638.0,3348.0,,-81.0,255.0,,,,,-799.0,,,,5617.0,-5857.0,,-3297.0,,,-3537.0,-3114.0,13013.0,6.0,9904.0
PLX,Q32019,,,1311.0,,462.0,53.0,-24.0,-351.0,173.0,,,,1070.0,2694.0,1635.0,1004.0,1794.0,-142.0,,-173.0,-213.0,11.0,-126.0,6483.0,,-502.0,26.0,-4614.0,2376.0,-24.0,20.0,-162.0,,,,,-2879.0,,1274.0,,12361.0,-15855.0,,-2845.0,,,-5066.0,-1462.0,9673.0,-8.0,8203.0
PLX,Q32020,,,1114.0,,496.0,-45.0,39.0,-257.0,193.0,,2753.0,,-2969.0,1323.0,1205.0,413.0,-2999.0,-145.0,,-171.0,-61.0,5.0,-74.0,-503.0,,-224.0,5.0,-4040.0,337.0,-1.0,,33.0,,,,,-3890.0,,848.0,,14716.0,-12822.0,,-1155.0,,,1586.0,-2807.0,12215.0,-19.0,9388.0
PLX,Q32021,,,112.0,,498.0,138.0,21.0,-215.0,164.0,,,,-264.0,455.0,2648.0,613.0,-6281.0,-147.0,1.0,-145.0,-202.0,5.0,-28.0,-3081.0,,48.0,-259.0,-4019.0,4755.0,-45.0,-6.0,-53.0,,,,,421.0,,-15.0,,20649.0,-19248.0,,57.0,,,1442.0,-1217.0,7606.0,-20.0,6369.0
