BCM,Q2/2013,Q2/2014,Q2/2015,Q2/2017,Q1/2018
Giai đoạn,01/04-30/06,01/04-30/06,01/04-30/06,01/04-30/06,01/01-31/03
Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,,"23,604","26,412","33,224","36,967"
I. Tiền và các khoản tương đương tiền,,"2,315","1,674","2,326","2,043"
1. Tiền,,292,336,235,326
2. Các khoản tương đương tiền,,"2,024","1,338","2,090","1,717"
II.  Đầu tư tài chính ngắn hạn,,95,70,317,603
1. Chứng khoán kinh doanh,,95,,,5
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,70,317,598
III. Các khoản phải thu ngắn hạn,,"6,760","9,049","11,802","6,812"
1. Phải thu ngắn hạn của khách hàng,,"2,930","5,302","6,970","6,359"
2. Trả trước cho người bán ngắn hạn,,"1,064",574,"1,019",171
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,26,26
6. Phải thu ngắn hạn khác,,"2,766","3,173","3,787",273
7. Dự phòng phải thu ngắn hạn khó đòi (*),,0,,,-18
8. Tài sản thiếu chờ xử lý,,,,1,1
IV. Hàng tồn kho,,"14,386","15,334","18,723","27,417"
1. Hàng tồn kho,,"14,386","15,334","18,723","27,420"
2. Dự phòng giảm giá hàng tồn kho (*),,,,,-3
V. Tài sản ngắn hạn khác,,48,286,57,92
1. Chi phí trả trước ngắn hạn,,1,6,49,21
2. Thuế GTGT được khấu trừ,,1,0,5,28
3. Thuế và các khoản khác phải thu của nhà nước,,6,279,4,43
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,39,,,
