BCM,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
13. Quỹ phát triển khoa học và công nghệ,139,139,139,139,139
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"18,592","17,837","17,962","17,937","17,973"
I. Vốn chủ sở hữu,"18,592","17,837","17,962","17,937","17,973"
1. Vốn góp của chủ sở hữu,"10,350","10,350","10,350","10,350","10,350"
- Cổ phiếu phổ thông có quyền biểu quyết,"10,350","10,350","10,350","10,350","10,350"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,12,12,12,12,12
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,8,8,8,8,8
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,-185,-185,-185,-185,-185
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,"1,570","1,588","1,586","2,068","2,068"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"5,748","5,084","5,196","4,796","4,832"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"4,171","3,399","5,104","4,565","4,441"
- LNST chưa phân phối kỳ này,"1,577","1,685",92,230,390
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"1,089",981,996,889,889
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"49,228","48,519","48,589","48,812","49,454"
