Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
19/06/2024,11.6(0.00 %),"-818,000",-9.44,"394,500",4.58,"1,212,500",14.02,"984,448,110",3.12%
18/06/2024,11.6(-0.43 %),"-1,001,800",-11.66,"77,500",0.9,"1,079,300",12.57,"983,928,310",3.14%
17/06/2024,11.65(-0.43 %),"-777,600",-9.03,"200,700",2.34,"978,300",11.37,"982,978,810",3.16%
14/06/2024,11.7(-2.50 %),"-929,200",-10.98,"97,800",1.17,"1,027,000",12.15,"982,523,510",3.18%
13/06/2024,12(1.69 %),"453,600",5.42,"1,109,600",13.23,"656,000",7.8,"981,890,110",3.19%
12/06/2024,11.8(1.29 %),"21,600",0.28,"752,800",8.82,"731,200",8.54,"982,327,874",3.18%
11/06/2024,11.65(-0.85 %),"-401,636",-4.7,"456,800",5.33,"858,436",10.03,"978,583,053",3.28%
10/06/2024,11.75(-0.42 %),"-1,881,785",-22.18,"252,815",3,"2,134,600",25.18,"980,101,152",2.9%
07/06/2024,11.8(-0.42 %),"-162,000",-1.9,"402,100",4.77,"564,100",6.66,"978,219,367",3.29%
06/06/2024,11.85(2.60 %),"1,867,720",21.59,"4,655,400",54.82,"2,787,680",33.23,"978,583,053",3.28%
05/06/2024,11.55(0.00 %),"676,900",7.83,"817,300",9.46,"140,400",1.63,"982,514,245",2.84%
04/06/2024,11.55(-0.86 %),"-245,500",-2.86,"114,900",1.34,"360,400",4.19,"983,191,145",2.82%
03/06/2024,11.65(2.19 %),"1,383,500",16.07,"1,570,300",18.24,"186,800",2.18,"982,945,645",2.83%
31/05/2024,11.4(0.00 %),"-257,800",-2.93,"758,900",8.68,"1,016,700",11.61,"982,945,664",3.16%
30/05/2024,11.4(-1.30 %),"-994,800",-11.37,"236,400",2.7,"1,231,200",14.07,"982,369,664",3.18%
29/05/2024,11.55(-1.28 %),"-956,000",-11.08,"378,900",4.4,"1,334,900",15.48,"981,947,100",3.19%
28/05/2024,11.7(0.86 %),"176,300",2.07,"835,200",9.73,"658,900",7.66,"982,181,100",3.19%
27/05/2024,11.6(0.43 %),"519,800",6.02,"781,000",9.04,"261,200",3.02,"982,441,200",3.18%
24/05/2024,11.55(-1.70 %),"-33,900",-0.36,"493,600",5.75,"527,500",6.11,"979,808,459",2.9%
23/05/2024,11.75(0.86 %),"809,800",9.49,"1,325,600",15.51,"515,800",6.02,"981,254,800",3.21%
