Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
17/03/2025,24.3(0.00 %),-420,-0.01,"1,104,600",26.79,"1,105,020",26.8,0,0%
14/03/2025,24.3(0.00 %),"-289,577",-7.01,"310,000",7.55,"599,577",14.56,0,0%
13/03/2025,24.3(-1.22 %),"-5,355",-0.13,"2,550,000",62.53,"2,555,355",62.66,0,0%
12/03/2025,24.6(-0.81 %),"-1,000",-0.02,"2,600,000",64.55,"2,601,000",64.58,0,0%
11/03/2025,24.8(1.22 %),"26,800",0.65,"1,720,216",42.09,"1,693,416",41.44,0,0%
10/03/2025,24.5(0.00 %),"8,336",0.21,"58,536",0.21,"50,200",0,0,0%
07/03/2025,24.5(1.66 %),"-17,472",-0.42,"429,500",10.5,"446,972",10.92,0,0%
06/03/2025,24.1(2.34 %),"-65,339",-1.55,"551,777",13.01,"617,116",14.56,0,0%
05/03/2025,23.55(0.64 %),-536,-0.01,"3,236,400",76.48,"3,236,936",76.49,0,0%
04/03/2025,23.4(1.30 %),"11,948",0.28,"12,854,986",296.74,"12,843,038",296.46,0,0%
03/03/2025,23.1(0.43 %),"-3,651",-0.08,"961,426",22.16,"965,077",22.24,0,0%
28/02/2025,23(-0.86 %),-931,-0.02,"1,190,000",27.42,"1,190,931",27.44,0,0%
27/02/2025,23.2(0.00 %),"-14,986",-0.34,"389,500",8.99,"404,486",9.34,0,0%
26/02/2025,23.2(-0.85 %),-26,-0,"370,106",8.64,"370,132",8.64,0,0%
25/02/2025,23.4(1.74 %),"-6,220",-0.15,"670,200",15.65,"676,420",15.8,0,0%
24/02/2025,23(0.44 %),-100,-0,"279,000",6.39,"279,100",6.4,0,0%
21/02/2025,22.9(0.22 %),"-5,600",-0.13,"338,500",7.77,"344,100",7.9,0,0%
20/02/2025,22.85(0.00 %),"-3,000",-0.07,"790,000",18.09,"793,000",18.16,0,0%
19/02/2025,22.85(0.66 %),"-1,825",-0.04,"1,185,575",27.01,"1,187,400",27.05,0,0%
18/02/2025,22.7(0.22 %),-40,-0,"2,415,600",55.08,"2,415,640",55.08,0,0%
