SSB,Q2/2015,Q3/2016,Q1/2017,Q2/2017,Q3/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"1,103","1,909","1,613","1,978","1,864"
2. Chi phí lãi và các chi phí tương tự,758,"1,223","1,252","1,446","1,368"
I. Thu nhập lãi thuần,345,685,361,533,496
3. Thu nhập từ hoạt động dịch vụ,37,38,31,92,39
4. Chi phí hoạt động dịch vụ,26,31,15,70,19
II. Lãi/lỗ thuần từ hoạt động dịch vụ,11,6,16,22,21
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-6,6,10,-1,21
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,14,9,38,66
5. Thu nhập từ hoạt động khác,1,1,0,1,0
6. Chi phí hoạt động khác,0,0,1,0,0
VI. Lãi/lỗ thuần từ hoạt động khác,0,0,0,1,0
"VII. Thu nhập từ góp vốn, mua cổ phần",2,2,,2,0
VIII. Chi phí hoạt động,230,299,285,305,317
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),122,415,111,288,287
X. Chi phí dự phòng rủi ro tín dụng,41,361,58,211,176
XI. Tổng lợi nhuận trước thuế (IX-X),80,54,53,77,111
7. Chi phí thuế TNDN hiện hành,1,3,0,26,8
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,1,3,0,26,8
XIII. Lợi nhuận sau thuế (XI-XII),79,51,53,51,103
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),79,51,53,51,103
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
