SSB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"1,864","1,916","2,102","2,085","1,995"
2. Chi phí lãi và các chi phí tương tự,"1,368","1,334","1,574","1,391","1,591"
I. Thu nhập lãi thuần,496,582,529,693,404
3. Thu nhập từ hoạt động dịch vụ,39,41,42,62,66
4. Chi phí hoạt động dịch vụ,19,30,19,43,17
II. Lãi/lỗ thuần từ hoạt động dịch vụ,21,10,23,19,48
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,21,-22,24,72,-26
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,58,0,31,108
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,66,-23,21,4,174
5. Thu nhập từ hoạt động khác,0,3,0,4,11
6. Chi phí hoạt động khác,0,0,0,1,5
VI. Lãi/lỗ thuần từ hoạt động khác,0,3,0,3,6
"VII. Thu nhập từ góp vốn, mua cổ phần",0,,,0,2
VIII. Chi phí hoạt động,317,365,383,416,383
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),287,242,215,406,333
X. Chi phí dự phòng rủi ro tín dụng,176,101,103,259,183
XI. Tổng lợi nhuận trước thuế (IX-X),111,141,112,148,150
7. Chi phí thuế TNDN hiện hành,8,65,0,2,6
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,8,65,0,2,6
XIII. Lợi nhuận sau thuế (XI-XII),103,76,112,146,144
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),103,76,112,146,144
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
