GAS,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
11. Thuế thu nhập hoãn lại phải trả,182,189,211,197,182
12. Dự phòng phải trả dài hạn,45,46,439,432,846
13. Quỹ phát triển khoa học và công nghệ,21,20,20,18,16
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"47,465","45,928","46,379","47,259","49,684"
I. Vốn chủ sở hữu,"47,465","45,928","46,379","47,259","49,684"
1. Vốn góp của chủ sở hữu,"19,140","19,140","19,140","19,140","19,140"
- Cổ phiếu phổ thông có quyền biểu quyết,"19,140","19,140","19,140","19,140","19,140"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,210,210,210,211,211
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,256,256,256,255,197
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,"14,862","17,213","18,946","18,946","18,844"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,6,6,6,6,6
11. Lợi nhuận sau thuế chưa phân phối,"11,212","7,292","6,038","6,985","10,146"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"3,224","4,329",139,60,13
- LNST chưa phân phối kỳ này,"7,988","2,963","5,898","6,926","10,134"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"1,778","1,811","1,783","1,716","1,141"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"62,579","62,009","65,199","62,558","62,254"
