GAS,Q3/2011,Q1/2012,Q2/2012,Q3/2012,Q4/2012
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"28,734","26,601","25,301","25,072","20,448"
I. Tiền và các khoản tương đương tiền,"8,268","10,770","11,844","12,394","12,722"
1. Tiền,"2,033","3,372","2,789","1,907","2,880"
2. Các khoản tương đương tiền,"6,234","7,399","9,055","10,487","9,842"
II.  Đầu tư tài chính ngắn hạn,"1,414",772,319,114,101
1. Chứng khoán kinh doanh,,773,319,114,101
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,-1,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"1,414",,,,
III. Các khoản phải thu ngắn hạn,"16,388","13,021","11,305","9,611","5,505"
1. Phải thu ngắn hạn của khách hàng,"14,514","11,723","10,196","8,448","4,771"
2. Trả trước cho người bán ngắn hạn,948,719,565,624,298
3. Phải thu nội bộ ngắn hạn,435,0,,,5
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,496,585,552,546,484
7. Dự phòng phải thu ngắn hạn khó đòi (*),-5,-7,-8,-7,-53
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"1,784","1,313",941,"1,834","1,534"
1. Hàng tồn kho,"1,784","1,378","1,000","1,892","1,618"
2. Dự phòng giảm giá hàng tồn kho (*),,-65,-58,-58,-84
V. Tài sản ngắn hạn khác,880,725,892,"1,119",586
1. Chi phí trả trước ngắn hạn,177,96,125,135,80
2. Thuế GTGT được khấu trừ,254,198,327,373,267
3. Thuế và các khoản khác phải thu của nhà nước,30,31,4,11,1
4. Giao dịch mua bán lại trái phiếu chính phủ,,0,0,0,
5. Tài sản ngắn hạn khác,419,399,436,601,238
B. TÀI SẢN DÀI HẠN,"26,143","25,651","25,393","24,666","24,661"
I. Các khoản phải thu dài hạn,17,0,0,0,2
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,17,0,0,0,2
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"17,643","21,190","21,141","20,693","20,988"
1. Tài sản cố định hữu hình,"17,234","16,255","16,482","15,835","15,304"
- Nguyên giá,"27,099","27,550","28,579","28,683","28,875"
- Giá trị hao mòn lũy kế (*),"-9,865","-11,295","-12,096","-12,848","-13,571"
2. Tài sản cố định thuê tài chính,143,206,194,183,171
- Nguyên giá,152,233,233,233,233
- Giá trị hao mòn lũy kế (*),-9,-28,-39,-50,-62
3. Tài sản cố định vô hình,266,270,269,274,336
- Nguyên giá,276,283,283,291,357
- Giá trị hao mòn lũy kế (*),-10,-12,-14,-17,-21
III. Bất động sản đầu tư,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
IV. Tài sản dở dang dài hạn,"3,747",,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,"3,747","4,459","4,195","4,401","5,176"
V. Đầu tư tài chính dài hạn,914,925,946,895,868
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,116,102,123,102,95
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),-13,-25,-25,-25,-25
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,811,848,848,819,798
VI. Tài sản dài hạn khác,"3,118","2,818","2,605","2,369","2,184"
1. Chi phí trả trước dài hạn,"3,112","2,790","2,576","2,342","2,156"
2. Tài sản thuế thu nhập hoãn lại,,3,,-2,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,6,25,29,29,28
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),704,717,701,707,619
TỔNG CỘNG TÀI SẢN,"54,878","52,253","50,695","49,737","45,108"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"28,185","24,728","23,295","21,765","16,353"
I. Nợ ngắn hạn,"12,269","14,383","13,911","12,360","7,897"
1. Phải trả người bán ngắn hạn,"7,146","8,227","7,298","6,386","2,336"
2. Người mua trả tiền trước ngắn hạn,115,153,72,79,42
3. Thuế và các khoản phải nộp Nhà nước,852,752,809,691,705
4. Phải trả người lao động,167,123,149,208,164
5. Chi phí phải trả ngắn hạn,"1,785","1,086","1,444","1,492","1,183"
6. Phải trả nội bộ ngắn hạn,103,102,117,49,46
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,
