Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
04/08/2021,25.15,13.15,0.1(0.40 %),"11,329,300",284.32,"103,200",2.63,25.15,25.45,24.85
03/08/2021,25.05,13.1,0.05(0.20 %),"7,998,600",199.05,0,0,25,25.4,24.5
02/08/2021,25,13.07,-0.5(-1.96 %),"6,934,200",174.07,0,0,25.3,25.5,24.5
30/07/2021,25.5,13.34,1.5(6.25 %),"15,222,800",379.04,0,0,24.15,25.5,24.15
29/07/2021,24,12.55,0.5(2.13 %),"5,115,200",121.4,"1,670,000",39.58,23.5,24,23.45
28/07/2021,23.5,12.29,0.05(0.21 %),"4,263,100",99.42,"1,855,000",40.53,23.2,23.5,23
27/07/2021,23.45,12.26,0.55(2.40 %),"4,485,600",104.24,0,0,23.15,23.45,23.05
26/07/2021,22.9,11.98,-0.7(-2.97 %),"4,138,300",95.25,0,0,23.15,23.55,22.55
23/07/2021,23.6,12.34,0.1(0.43 %),"7,177,800",170.35,0,0,23.1,24.6,23.1
22/07/2021,23.5,12.29,0.1(0.43 %),"3,985,000",93.65,0,0,23.75,23.75,23.2
21/07/2021,23.4,12.24,-2.2(-8.59 %),"6,078,300",144.66,0,0,24,24.4,23.25
20/07/2021,25.6,11.95,0.05(0.20 %),"10,192,000",253.71,0,0,25.6,25.75,24.05
19/07/2021,25.55,11.93,-1.9(-6.92 %),"9,224,000",238.27,0,0,26,27,25.55
16/07/2021,27.45,12.82,-0.25(-0.90 %),"5,247,000",144.23,"570,000",15.9,27.8,27.85,27.25
15/07/2021,27.7,12.93,0.6(2.21 %),"4,560,300",124.33,0,0,27,27.7,26.6
14/07/2021,27.1,12.65,-0.4(-1.45 %),"7,974,500",214.46,0,0,27.5,27.5,26
13/07/2021,27.5,12.84,-0.5(-1.79 %),"7,378,500",202.17,"100,000",2.9,28,28.3,26.7
12/07/2021,28,13.07,-0.9(-3.11 %),"16,189,900",442.69,"28,000",0.87,28.3,28.6,26.9
09/07/2021,28.9,13.49,-1(-3.34 %),"6,966,600",204.55,0,0,29.5,30.4,28
08/07/2021,29.9,13.96,-0.05(-0.17 %),"8,467,100",254.35,0,0,30.5,30.5,29.4
